en,ko
I'll report my manager to make a long story short.,간단히 말하기 위해서 매니저에게 보고 할 예정 이다.
"He was once a top athlete, but his career went down in flames when he was caught using drugs.","그는 한때 최고의 운동선수였지만, 그의 경력은 그가 마약을 사용한 것이 들통나면서 모두 망했습니다."
The runner seemed to find his second wind as he reached the 15 km mark.,그 주자는 15km 지점에 도달했을 때 새로운 활력을 얻은 것처럼 보였습니다.
I wonder how my son had weathered the storm after lost his job.,저는 제 아들이 실직한 후 어떻게 고비를 이겨냈는지 궁금합니다.
"When Mary blamed the oven for burning the turkey on Thanksgiving, her husband jokingly replied, A bad workman always blames his tools.","메리가 추수감사절에 칠면조를 태우는 것에 대해 오븐을 탓하자, 그녀의 남편은 농담으로 서투른 목수가 항상 연장 탓한다고 대답했습니다"
"Despite the tough competition, they're determined to make a go of their new bakery.","경쟁이 치열함에도 불구하고, 그들은 새 빵집을 성공시키기로 결심했습니다."
Hang in there,참고 버티어라.
You have a snowball's chance in hell of winning the lottery.,복권이 당첨되는 것은 하늘의 별 따기다.
He made a killing by investing in cryptocurrency before it surged in value.,그는 암호화폐가 가치가 급등하기 전에 암호화폐에 투자하면서 한 번에 큰 돈을 벌었습니다.
The potential of the electric vehicle market has also encouraged traditional carmakers to jump on the bandwagon.,전기 자동차 시장의 잠재력은 또한 전통적인 자동차 회사들이 시류에 편승하도록 장려했습니다.
I thought I'd better strike while the iron was hot. ,나는 이 찬스를 놓쳐서는 안 된다고 생각한 것이다.
I can't take time on your problem because I have other fish to fry.,더 중요한 일이 있어서 당신에게만 매달려 있을 순 없어.
"During the current pandemic, everyone was riding out the storm until they found a vaccine.","현재의 대유행 기간 동안, 모든 사람들은 백신을 찾을 때까지 이 고비를 이겨내고 있었습니다."
He has been building houses for many years and has a lot of know-how.,그는 여러 해 동안 집을 짓고 있고 많은 노하우를 가지고 있습니다.
They gave him the ax.,그들은 그를 해고했다.
Our plans are perfect. Don't discuss them with anyone. We don't want to upset the applecart.,우리 계획은 완벽해. 아무에게도 이야기하지 마. 우리는 상황을 어지럽히고 싶지 않아.
"Since business has improved, he is really raking it in.",비즈니스가 개선되어서 그는 정말 돈을 벌고 있어요.
A lot of companies are finding ways to cut corners lately.,많은 회사들이 일반 절차와 다르지만 비용 절감할 방법들을 찾고 있다.
We need to buy a lot of stuff for the party.,우리는 파티를 위해 많은 물건을 사야 합니다.
"I wanted to paint the room blue, my wife wanted yellow. I had to give in.","나는 방을 파란색으로 칠하고 싶었지만, 아내는 노란색을 원했어. 나는 어쩔 수 없이 양보했어."
An apple a day keeps the doctor away.,하루 사과 한 알이면 의사가 필요 없다.
"do whatever you can, but don't bite off more than you can chew.",할 수 있는 만큼 하되 능력 이상으로 무리하지마.
I feel snowed under with all the work my boss keeps throwing my way.,상사가 자꾸 일을 줘서 할 일이 산더미야.
It takes one to know one. ,사돈 남 말 한다.
"I thought my idea was great, but my boss said it would never work. He shot it full of holes.",내 아이디어가 좋다고 생각했지만 상사는 그것이 절대로 동작하지 않을 것이라고 말했어요. 그는 큰 흠을 찾았어요.
This bed offers the best of both worlds for those seeking comfortable and cozy.,이 침대는 편안함과 안락함을 모두 원하는 사람들에게 일석이조의 효과를 제공합니다.
Moving from my old school to this one is like jumping out of the frying pan into the fire.,제가 다니던 학교에서 이곳으로 이사하는 것은 마치 여우를 피하려니 호랑이를 만난 격과 같습니다.
She's ready to leave at the drop of a hat. ,그녀는 즉시 떠날 준비가 되어 있다.
"To make matters worse, free school meals have been withdrawn.",설상가상으로 무료 학급 급식이 취소돼 버렸다.
He was upset and crying so hard that he couldn't snap out of it.,"그는 패닉, 두려움, 히스테리아의 통제에서 벗어날 수 없어서 울고 있었습니다."
"Jonh cheated on her, Add insult to injury, it was with her best friend.","존이 바람을 피웠는데, 설상가상으로 바람난 상대가 그녀의 절친이였어."
I had to stay at work late yesterday. Some new work cropped up.,어제 늦게까지 회사에 남아있어야 했어요. 새로운 일이 생겼어요.
I’ll see if I can pull strings so that you can get an interview.,당신이 면접을 볼 수 있도록 제가 비밀리에 영향력을 행사할 수 있는지 알아보겠습니다.
Sweet after bitter.,고진감래
I told her that she was the apple of my eye.,내게 있어 가장 소중한 사람은 그녀라고 직접 말했어.
He obviously felt that he had bigger fish to fry.,그는 자기가 코가 석자라고 확실하게 느꼈어요.
About to hit the sack. Sweet dreams everybody. ,자려는 참이야. 모두들 좋은 꿈 꿔.
It's time for you to spill the beans about him.,이제 그에 대한 비밀을 말할 때야.
"My team has several new trainees and we now have a new project to manage. Oh boy! When it rains, it really does pour!",저희 팀에는 몇 명의 신입 연수생이 있고 이제 관리해야 할 새로운 프로젝트가 있습니다. 오 이런! 좋은 일이든 나쁜 일이든 한 꺼번에 일어납니다!
This mistake would never happen if you were on the ball.,당신이 유능했더라면 이 실수는 절대 안 일어났을 거예요.
do nnot miss the boat.,기회를 놓치지 마라.
The court's decision gave us some breathing room.,법원의 결정은 우리에게 숨통을 틔워주었습니다.
I know! Time flies when you're having fun.,그러니까. 재미있을 떄는 시간이 너무 빨리 가.
It's a piece of cake compared to my job this morning.,오전에 내가 한 일에 비하면 이건 식은 죽 먹기 수준 이야.
I won't worry about what other people are saying about me. I have bigger fish to fry.,나는 다른 사람들이 나에 대해서 뭐라고 말하는지 걱정하지 않아. 내 코가 석자라.
"My credit card is declined at lunch and to add insult to injury, my ex-boyfriend was at the next table!","점심때 신용카드 결제가 거절 됐는데, 설상가상으로 전 남자친구가 옆 테이블에 있었어!"
The police were asking him about the robbery. He knew he had to tell everything he knew and let the chips fall as they may.,경찰은 그에게 강도 사건에 대해 묻고 있었습니다. 그는 자신이 알고 있는 모든 것을 말하고 결과에 상관없이 행동해야 한다는 것을 알고 있었습니다.
Everybody in this compay will support you if you decide to move to another company but the ball is in your court if you decide to change your mind at the last minute.,"당신이 다른 회사로 옮기기로 결정한다면 이 회사의 모든 사람들이 당신을 도울 거지만, 마지막에 마음을 바꿀지 말지는 결정하는 것은 당신의 몫입니다."
"I need a 2-inch screw that will hold a part tight in the light fixture. I've been scrounging around for an hour, but can't seem to find one.",조명기구에 부품을 단단히 고정할 수 있는 2인치 나사가 필요합니다. 한 시간 동안 이리저리 돌아다녔는데 못 찾겠어요.
"If you don't get along, keep your distance but never burn bridges.",잘 지내지 못한다면 거리를 유지하되 관계를 망치지 마세요.
You are playing with fire if you drive with your car on 'empty'.,차가 '연료부족' 상태로 운전한다면 위험을 불러일으키는 겁니다.
Slow and steady wins the race. is a dictum which emphasizes steadiness.,천천히 그리고 꾸준히 하면 경주에서 이긴다.라는 끈기를 강조하는 격언이다.
"Herbert came off it, said he was the only one who could do the job. I told him to come off it.",허버트는 그 일을 할 수 있는 사람은 자기밖에 없다고 했어요. 저는 그에게 그 일을 그만두라고 말했습니다.
It's not over till the fat lady sings.,끝날때까지 끝난게 아니다.
Absolutely. Slow and stead wins the race.,급하게 먹은 밥은 체하지.
I'm broke. I should find ways to cut corners.,나 돈을 다 썼어. 돈을 아낄 방법을 찾아야 겠어.
Don't put all your eggs in one basket.,한가지 일에 모든 걸 걸지 마라.
"It's about time, but better late than never.","이제야 하는군요, 하기야 늦더라도 아예 안 하는 것보다야 낫겠지요."
I'm feeling under the weather.,몸이 좀 안 좋은 것 같아.
"ladies, stop it. you have been friends for 20 years. what on earth has gotten into you all?","여성분들, 잠깐만요. 20년지기 친구 아닌가요. 세상에 당신들 사이에 무슨일이 있었던 거에요?​"
I feel better ever since I told him my problem and got it off my chest.,나는 그에게 내 문제를 얘기한 후로 기분이 좋아져요. 가슴을 털고 나왔기 때문이죠.
Every cloud has a silver lining.,하늘이 무너져도 솟아날 구멍이 있다.
The hem on the dress ripped. I doctored it up with some tape.,드레스의 밑단이 찢어졌어요 테이프를 붙여 손댔어요.
"With so many brothers competing for the car, I learned that the early bird gets the worm.","그 차를 차지하려고 다투는 많은 형제들 틈에서, 전 일찍 일어나는 새가 벌레를 잡는다는 사실을 배웠습니다."
His boss found out he has been stealing from the cash register. He’s a goner.,그의 상사는 그가 금전 등록기에서 훔치고 있다는 것을 알게 되었습니다. 그는 문제가 생겼어요.
Don't cry over Jane. There are plenty more fish in the sea!,제인 때문에 울지 마. 세상에 널린게 여자야!
Have you dug up any information on the new employee?,신입사원에 대한 정보는 찾아냈습니까?
I hated greasy spoon dinner last night.,난 어젯 밤에 먹었던 값싼 식사를 싫어했다.
"Some people think that he's already lost the election, but it ain't over till the fat lady sings, you know!","사람들은 이미 그가 선거에서 졌다고 말하지만, 결과는 끝까지 가봐야 아는 거라고!"
"He didn't put all his eggs in one basket, so he was able to recover from his losses.","그는 한 가지에 모든 걸 투자 하지 않았기 때문에, 그래서 손실에서 회복 할 수 있었어."
She used to rub it in that I was fired from my job. She is no longer my friend.,그녀는 제가 직장에서 해고되었다는 사실을 입에 올리기도 했습니다. 그녀는 더 이상 제 친구가 아닙니다.
I was put on the spot and expected to make a toast at the anniversary party.,"저는 어려운 상황에 처했고, 기념일 파티에서 건배사를 할 것으로 예상했습니다."
"To make a long story short, you have to work out every day.","간단히 말해서, 너는 매일 운동을 해야해."
The company can't expect me to move my home and family at the drop of a hat.,내가 즉각 내 집과 가족을 옮겨갈 거라고 회사가 바랄 수는 없어요.
Let’s put our heads together and figure out a way to solve this problem.,문제를 해결하기 위해 머리를 맞대고 생각해 봅시다.
I can come at the drop of a hat.,나는 즉시 갈 수 있으니까.
"Milton Friedman, praised as the most influential economist of the 20th century and a recipient of Nobel Memorial Prize in Economics, used to say There's no such thing as a free lunch, which means there is nothing for free. ",20세기의 가장 영향력 있는 경제학자로 추앙 받으며 노벨 경제학상 수상자인 밀턴 프리드만은 공짜는 없다는 뜻인 공짜 점심이라는 것은 없다는 말을 하곤 하였다.
There's no use trying to keep this business going. We are flogging a dead horse.,이 사업을 계속하려고 노력해도 소용이 없습니다. 우리는 헛수고를 하고 있습니다.
The sports club went down in flames after the players and fans joined in protest against the corrupt management.,선수들과 팬들이 부패한 경영진에 항의하기 위해 합류한 후 스포츠 클럽은 실패했습니다.
As a woman? I am not gonna put in a sentence as a woman. I'm not putting my egges in that basket.,여성으로서? 난 절대 그런 말 안 뱉을 거예요. 그런 위험 부담은 절대 안 합니다.
He realized that he was able to get along quite well without his partner.,그는 동료 없이도 꽤 잘 지낼 수 있다는 것을 깨달았어.
Everyone told me this idea was stupid. I didn't listen to them and stuck to my guns.,"모두 나에게 이 아이디어가 어리석다고 말했지만, 나는 그들의 말을 듣지 않고 내 주장을 고수했습니다."
"When you see their new home, you’ll know that they live high off the hog.",그들의 새 집을 보면 그들이 호화롭게 살고 있다는 것을 알 수 있을 것입니다.
"Even though we have to fly to get to your wedding, we will be there by hook or by crook.","비록 우리가 당신의 결혼식에 가기 위해 비행기를 타고 가야 하지만, 우리는 수단과 방법을 가리지 않고 갈 것입니다."
You said a mouthful when you admitted that she was the smartest girl in her class.,그녀가 그녀의 반에서 가장 똑똑한 소녀라고 인정했을 때 당신은 진실한 말을 했습니다.
"You said that you would help pay for their wedding. Well, it's been three months. cough it up.","두 사람의 결혼식 비용을 내겠다고 하셨잖아요. 글쎄요, 벌써 3개월이나 지났는데요. 토해내세요."
"I was going to stop working at 6:00 pm, but I got my second wind and just carried on until about 9:00 pm.","저는 오후 6시에 일을 그만 두려고 했지만, 새로운 활력을 얻어서 오후 9시쯤까지 계속했습니다."
"Ever since she won the lottery, she has it made.",그녀가 복권에 당첨된 이후로 그녀는 성공을 확신했습니다.
It'll be a piece of cake for him.,그에게는 식은 죽 먹기지.
"My neighbor had applied for the post of architect in a big project, but did not cut the mustard.","제 이웃은 큰 프로젝트에서 건축가 자리에 지원했지만, 기대에 부응하지는 못했습니다."
The cover of this book is so random.,책 표지가 정말 쌩뚱 맞네.
Both sides agreed to leave no stone unturned in their efforts to end the dispute.,양측은 그 분쟁을 끝내기 위한 노력에 수단과 방법을 가리지 않기로 합의했습니다.
He is a very wealthy man. He was one of Microsoft's first employees and got in on the ground floor.,그는 아주 부유한 사람이에요. 그는 마이크로소프트의 최초의 직원 중 하나였고 처음부터 참여 했어.
She knows all about office politics; she's been around for a while.,그녀는 사무실 정치에 대해 모두 알아요. 그녀는 오래 전부터 있어왔어요.
You've hit the nail on the head.,맞았어 바로 그거야.
I can't believe Sopfia has never done this before! She's really on the ball.,나는 소피아가 이 일을 전에 해본 적이 없다는 게 믿기지가 않아! 걘 완전 일잘러야.
Don’t jump to conclusions and assume that all well-dressed men are rich.,섣부른 결론을 내리지 마세요. 모든 멋진 들어진 남자가 부자는 아니라는 것을 상상해보세요.
A penny for your thoughts?,지금 무슨 생각하고 있는 거죠?
"When John was made redundant, the family had to weather the storm until he found a new job.","존이 해고되었을 때, 그 가족은 그가 새로운 직업을 찾을 때까지 이 고비를 견뎌야 했습니다."
My mom gets really quiet when she is angry. We all know that it's the calm before the storm and try to get out of her way before it hits.,우리 엄마는 화가 나면 정말 조용해집니다. 우린 그게 폭풍 전야라는 것을 알고 폭풍이 치기 전에 그녀의 길에서 벗어나려고 노력합니다.
"It took me four hours to renew my driver’s license, and I seemed to get the runaround.","운전 면허를 갱신하려면 4시간이 걸렸고, 나는 속임수를 당한 것 같았다."
I am stuck on this math problem and I cannot figure it out.,"저는 이 수학 문제에 빠져 있고, 이 문제를 이해 할 수가 없다."
It ain't over till the fat lady sings.,길고 짧은 건 대봐야 알아요.
Do to others as you would be done by.,남에게 받고 싶은 대로 해주어라.
"Bill has offered to buy my car for $3,000 cash. Someone else might pay more, but a bird in the hand is worth two in the bush. ",빌이 현금 3000달러 가격으로 내 차를 사는 것을 제안했어. 누군가가 더 좋은 제안을 할지 모르겠지만 손 안에 든 새 한 마리는 풀 숲에 있는 두 마리 새의 가치가 나은 법이니깐.
I'll get back to you as soon as I pull myself together.,"마음 추스르고 간으한 빨리 연락할게,."
She'll have a fit if she finds out you broke her watch.,당신이 시계를 부순 걸 알면 그녀는 화가 날 겁니다.
She is in a bind after committing to help two different people at the same time.,그녀는 두 명의 다른 사람들을 동시에 돕기로 약속하고 난 후 곤경에 처해 있습니다.
"Before I can give you my opinion, I need to size up the situation.",내 의견을 드리려면 상황을 평가해봐야 해요.
"He has quit his job, gained weight, and I think may be abusing drugs. It looks like he's really gone to pot.",직장을 그만두고 살이 쪘는데 약물을 남용하는 것 같아요. 정말 많이 나빠진 것 같아요.
"Since my little daughter fell from the swing, she doesn't like swinging it anymore. Truly said, once bitten, twice shy.","제 어린 딸이 그네에서 떨어져서 더 이상 그네 타는 것을 좋아하지 않습니다. 진짜로, 한번 물리면 그 다음은 조심합니다."
you're barking up the wrong tree. I didn't say anything.,헛다리 짚었어요. 나 아무 말도 안 했는데요.
The price discount ended yesterday and I just missed the boat on a great deal.,어제 가격 할인이 끝나서 기회를 놓쳤어요.
The race to be the number one tea producer is a relative storm in a teacup compared with the industrywide struggle to deal with a shrinking marketplace.,최고의 차 생산자가 되기 위한 경쟁은 축소되는 시장을 다루기 위한 업계 전반의 투쟁과 비교할 때 상대적으로 불 필요한 일 입니다.
Just calm down. There's no need to get bent out of shape.,진정해. 화낼 필요 없어.
I felt like two cents when I dropped the birthday cake on the floor.,생일 케이크를 바닥에 떨어뜨렸을 때 부끄러웠습니다.
You will need some medical tests because your doctor needs to rule out whether or not you may have a virus.,의사가 바이러스에 감염될지도 모른다는 것을 배제할 필요가 있기 때문에 당신은 약간의 의학적인 검사가 필요할 것입니다.
everybody has to butter up rich man.,모든 사람들이 부자에게 아부를 떨었다.
No buts!,토 달지 말고!
Don't count your chickens before they hatch.,떡 줄 사람은 꿈도 안 꾸는데 김칫국부터 마신다.
A dime a dozen,매우 흔해 빠지다.
"My friend moved into my apartment, stayed for a year, and never contributed any money; he's a freeloader.",내 친구가 내 아파트로 이사와서 1년 동안 돈 한 푼 내지 않았어. 그는 돈을 먹는 사람이야.
you're barking up the wrong tree. you are askinng the wrong person.,헛다리 짚었어요. 엉뚱한 사람에게 묻고 계시네요.
He is all about me.,그는 내게 푹 빠져있어.
Some people say you need a lot of will power to quit smoking.,어떤 사람들은 담배를 끊으려면 강한 의지력이 필요하다고 말합니다.
"Like apples and oranges, they are simply different.","사과와 오렌지 처럼, 그들은 단순히 다르다."
It was raining cats and dogs last night.,어젯 밤에 비가 억수로 쏟아졌다.
it's raining cats and dogs. ,비가 억수로 쏟아지고 있어.
"By speaking up against her boss, she is putting herself out on a limb.",그녀는 상사에게 불리한 말을 함으로써 자신을 곤경에 빠뜨리고 있습니다.
"Because I had a few days off work, I took advantage of all the time I had and read a few books.","나는 며칠 동안 일을 쉬었기 때문에, 내가 가진 모든 시간을 이용해 책을 몇 권 읽었다."
"After four years, their relationship began to go south.",4년이 지나자 그들의 관계는 악화되기 시작했어.
The voters are worried about bread and butter issues like jobs and taxes.,유권자들은 일자리와 세금과 같은 기본적인 삶의 문제에 대해 걱정하고 있습니다.
I was just fuming.,나는 분노하고 있었다.
A true friend is someone who is always there when the chips are down.,진정한 친구란 돈이 바닥났을 때 항상 곁에 있는 사람입니다.
"Well, there's medication, but why don't we cross that bridge if we come to it?",약을 처방할 수도 있지만 그건 정말 필요할 때 쓰기로 하죠.
"He has pulled himself together for a couple days, and he's preparing for test.","몇일 동안 마음을 가다 듬고 난 후에, 시험 준비 하고 있어."
Don't have to hurry. There are plenty of other fish in the sea.,서두르지마. 기회는 얼마든지 있어.
He came a long way in his recovery from surgery.,그는 수술 후 회복에 큰 진전을 보였습니다.
He decided to go back to college because he realized he had a dead-end job.,그는 자신이 막다른 길을 가고 있다는 것을 깨달았기 때문에 대학에 다시 가기로 결심했습니다.
"I don't know how we'll pay the bills if you quit your job, but we'll cross that bridge when we come to it.","일을 그만 두시면, 얼마나 지불 드릴 지는 모르겠지만, 그건 그때 가서 생각합시다."
She needs to make up her mind about which college to attend before the application deadline.,그녀는 지원 마감 전에 어느 대학에 다닐지 결정해야 합니다.
"After 9/11, he won over $2 billion in government contracts, super patriot. A friend to politicians and gennerals. Until things went south.","9.11 이후 정부와 계약한 사업 규모가 20억 이상이야. 대단한 애국자였고, 정계, 군부에 줄이 많았는데, 상황이 나빠진거지."
My cousin dropped out of college.,내 사촌은 대학을 중퇴했어요.
We've got a few days off work so lets make hay while the sun shines and do some landscaping around the back of the house.,휴가가 며칠 남았으니 기회가 있을 때 집 뒤편에서 조경을 좀 합시다.
I can't finish this. I think I might have bitten off more than I can chew.,이건 도저히 못하겠어. 내가 너무 욕심부렸나 봐.
She passed her course with flying colors and now wants to go out and celebrate.,그녀는 점수 좋게 이 수업을 통과했고 이제 축하하러 나가고 싶어해.
Everyone comes to her desk and takes supplies; she's hard up for pencils.,모든 사람들이 책상으로 와서 준비물을 가져갑니다. 그녀는 연필이 절실히 필요합니다.
Do you think my idea to have a birthday party for our teacher will go over big?,선생님 생신 파티를 하자는 제 생각이 크게 받아들여질까요?
She always seems so excited and motivated at work. She's got a lot of get up and go.,그녀는 항상 직장에서 열정적이고 열심히 일하는 것처럼 보여. 그녀는 기운과 활력이 넘쳐.
What is the elephant in the room?,애써 .모른척하는 문제가 뭐에요?
