en,ko
I have overheard that she may be fired from her job. I think she is a hard worker and I want her to stay. I'm going to bat for her.,그녀가 그녀의 직장에서 해고될 수 있을 것이라는 얘기를 들었어. 그녀는 열심히 일하는 것 같아서 그녀를 돕기 위해 노력하려고해.
He is so charming that he really does get away with murder. ,그는 아주 매력이 넘쳐서 얼마든지 멋대로 굴어도 괜찮지.
"This new business is risky, but hopefully, it will pan out.","이 새로운 사업은 위험하지만, 잘 될 수 있기를 바랍니다."
"The economy'so bad, I only make a sale once in a blue moon.",경기가 안 좋아서 거래가 가뭄에 콩 나듯 있어요.
"As they say, don't count your chickens before they're hatched, because a week is a long time in politics and 2009 is an eternity.",그들이 말한 것처럼 김칫국부터 마시지 마라. 왜냐하면 일주일은 정치계에서 긴 시간이고 2009년은 긴 시간이다.
Every dog has his day.,쥐구멍에도 볕 들 날 있다.
Don't be friends with bad boys. People think that birds of a feather flock together.,나쁜 남자들과는 친구가 되지 마세요. 사람들은 유유상종이라고 생각합니다.
My teacher is always in a bad mood. He is such a sourpuss.,내 선생님은 항상 기분이 나쁘다. 그는 정말로 언제나 괴로운 표정을 짓는 사람이에요.
She's got a mind of her own.,그녀는 자기만의 생각을 가지고 있습니다.
She reminded me that I had to prepare for my trip out of town. I wish she would get off my back.,그녀는 제가 지방 여행을 준비해야 한다는 것을 상기시켜 주었습니다. 저는 그녀가 잔소리를 그만 했으면 좋겠습니다.
It takes two to tango.,손뼉도 마주쳐야 소리 난다.
It's a piece of cake.,누워서 떡 먹기.
This venture is going to be sink or swim.,이 모험은 성공을 거두거나 완전히 실패할 것입니다.
"May I? Look, whatever differences you and I have, they'll keep. Right now we've got bigger fish to fry.",말 좀 해도 돼요? 우리 사이의 문제는 우선 잊어요. 지금은 우리 코가 석자에요.
All this publicity has had a snowball effect on the sales of their latest album.,이런 모든 평판 덕분에 그들의 최신 앨범 판매고가 눈덩이처럼 불어나고 있다.
"When it came to splurge on buying a new car, they splurged and bought one that was luxurious.","새 차를 사려고 할 때, 그들은 호화로운 차를 사서 돈을 많이 썼어요."
I had to bite the bullet and backed down on the demand.,나는 울며 겨자 먹기로 그 요구에 응했다
"Harvey, eye on the ball. This issue here is you tried to torpedo a client.","하비, 중요한 일에 집중해, 중요한 건 자네가 의뢰인에게 한방 먹이려고 한건데."
This issue is a perfect storm.,이 문제는 최악의 시나리오이다.
The coach gave the players a pep talk before the game.,경기 전에 코치가 선수들에게 열정을 불어넣어 주었어.
Everybody in this compay will support you if you decide to move to another company but the ball is in your court if you decide to change your mind at the last minute.,"당신이 다른 회사로 옮기기로 결정한다면 이 회사의 모든 사람들이 당신을 도울 거지만, 마지막에 마음을 바꿀지 말지는 결정하는 것은 당신의 몫입니다."
She felt caught between the devil and the deep blue sea.,그녀는 진퇴양난에 빠졌음을 느꼈다.
"You're right, it's your first child. I'll cut you some slack buddy.",맞아. 네 첫 아이지? 그럼 당연히 좀 봐 줘야지.
"Their betrayal felt like being stabbed in the back, as they had promised to support me through thick and thin.",힘들 때나 힘들 때나 나를 지지해 주겠다고 약속했던 그들의 배신은 믿는 도끼에 발등 찍히는 느낌이었다.
It rains in the desert once in a blue moon.,사막에서는 비가 오는 일이 드물다.
He is a very wealthy man. He was one of Microsoft's first employees and got in on the ground floor.,그는 아주 부유한 사람이에요. 그는 마이크로소프트의 최초의 직원 중 하나였고 처음부터 참여 했어.
"Emily wanted to learn a new language but was worried about making mistakes. Her language teacher reassured her, saying, ""Remember, nothing ventured, nothing gained,"" and she quickly became fluent.","Emily는 새로운 언어를 배우고 싶었지만 실수할까봐 걱정되었습니다. 그녀의 언어 선생님은 ""호랑이 굴에 들어가야 호랑이를 잡는다""고 그녀를 안심시켰고, 그녀는 금세 유창하게 되었습니다."
He played hooky from work so that he can do things around his house.,그는 집 주변에서 일을 할 수 있도록 직장에서 장난을 쳤습니다.
"If you think I believe that you won the lottery, you're pulling my leg.","내가 당신이 복권에 당첨되었다고 생각한다면, 당신은 바보입니다."
"The judge found him guilty, and he was sent up the river for 5 years.",판사는 그를 유죄로 인정하고 5년간 복역하게 했다.
She's peachy.,그녀는 정말 멋져.
That company increased the employees' salary across the board by 5 percent.,그 회사는 직원의 연봉을 일괄적으로 5 퍼센트 인상했다.
"Some people think that he's already lost the election, but it ain't over till the fat lady sings, you know!","사람들은 이미 그가 선거에서 졌다고 말하지만, 결과는 끝까지 가봐야 아는 거라고!"
Pudding rather than praise.,금강산도 식후경.
Your company is giving you a month off from work? That sounds a bit fishy.,회사에서 한 달 휴가를 준다고요? 좀 수상할 것 같네요.
"The soldier's family hadn't received any letters from the front lines, but they clung to the hope that no news is good news, assuming that silence meant he was safe.",군인의 가족은 최전선에서 어떤 편지도 받지 못했지만 침묵이 그가 안전하다는 것을 의미한다고 가정하고 무소식이 희소식 이라는 희망에 매달렸습니다.
Even experienced singers sometimes get butterflies before their performance.,무대에 선 경력이 오래된 가수들도 때로는 긴장해.
"I'm gonna have to take a rain check this time, I think",이번에는 다음 기회로 미뤄야 할 것 같아요.
I won't worry about what other people are saying about me. I have bigger fish to fry.,나는 다른 사람들이 나에 대해서 뭐라고 말하는지 걱정하지 않아. 내 코가 석자라.
"Even though we have to fly to get to your wedding, we will be there by hook or by crook.","비록 우리가 당신의 결혼식에 가기 위해 비행기를 타고 가야 하지만, 우리는 수단과 방법을 가리지 않고 갈 것입니다."
It's all about money.,돈이 최고야.
I get a kick out of it every time I see her dance.,그녀가 춤을 출 때마다 나는 그것을 즐긴다.
She doesn't want to take the red pill. She thinks ignorance is bliss. ,그녀는 불편한 진실을 알게 해 주는 빨간 약을 먹고 싶어 하지 않아. 그녀는 모르는 게 약이라고 생각하거든.
"These politicians know which way the wind is blowing regarding public opinion on the issue, and you can bet they'll vote accordingly.","이 정치인들은 이 문제에 대한 여론이 어느 쪽으로 흘러가고 있는지 알고 있으며, 그에 따라 투표할 것이라고 장담할 수 있습니다."
A different kettle of fish,별개사항
"He was a great player, but he retired sometime ago. We'll have to see if he still cuts the mustard.","그는 훌륭한 선수였지만, 얼마 전에 은퇴했습니다. 우리는 그가 아직도 성공 할 수 있는지 봐야 할 것 입니다."
There is a lot of mudslinging going on in politics today.,오늘날 정치권에서는 진흙탕 싸움이 많이 벌어지고 있습니다.
"He refused to answer any of our questions regarding where he spent his vacation, saying instead curiosity killed the cat.","그는 휴가를 어디서 보냈는지에 대한 우리의 질문에 대답하기를 거부했고, 대신 호기심이 지나치면 위험할 수가 있다고 말했습니다."
I was so sleepy that I hit the sack early.,나는 너무 졸려서 일찍 잤다.
"Ed is always serious, businesslike, and never wants to relax and have a good time. He is such a stuffed shirt.",에드는 항상 진지하고 사무적이며 결코 편안하고 즐거운 시간을 보내고 싶어하지 않습니다. 그는 격식을 차리는 사람입니다.
"We won't be able to get this deal underway unless your company is willing to compromise. It takes two to tango, after all.",귀사가 타협할 의사가 없다면 우리는 이 거래를 진행할 수 없을 것입니다. 손뼉도 마주쳐야 소리가 납니다.
"As soon as he turned eighteen years old, he flew the coop.","그가 열 여덟 살이 되자마자, 그는 갑자기 떠났어요."
I have made this flyer for the event. Do you think it would cut the mustard?,저는 행사를 위해 이 전단지를 만들었습니다. 당신은 그것이 성공할 것이라 생각하나요?
"Now you have to forget about her. Don't cry over spilt milk, she's married.",너는 이제 그녀를 잊어야 해. 이미 후회하긴 늦었어. 그녀는 결혼했어.
She is such a wonderful cook. The cakes that she bakes are dish fit for the gods!,그녀는 진짜 최고의 요리사야. 그녀가 만든 케이크는 정말 최고 였어.
I did dig up some dirt on you to use as blackmail in case things go south.,혹시 몰라서 뒤를 캐봤죠. 일이 틀어지면 협박용으로 쓰려고요.
Why do you want to go to the rumour mongers when you can get it straight from the horse's mouth?,당신은 정확한 소식통으로 바로 알 수 있는데 왜 소문을 퍼뜨리는 사람들에게 가려고 합니까?
Check the coast is clear before you leave the room.,방 나가기 전에 이상 없는지 확인해.
"Since the advertisement for this product was too exaggerated, consumers should take it with a graind of salt.","이 제품을 소개하는 광고는 너무 과장 됐으니까, 소비자들은 약간 미심쩍은 마음으로 감안하면서 봐야 해."
"During the dog days of summer, people prefer to remain indoors and go out as little as possible.","여름의 복날 동안, 사람들은 실내에 있고 가능한 한 밖에 나가지 않는 것을 선호합니다."
I accidentally spilled the beans when I told my friend we're throwinng a suprise party for Jane.,내 친구한테 제인을 위한 깜짝 파티를 한다고 나도 모르게 말해버렸지 뭐야.
This program is like killing two birds with one stone.,이 프로그램은 일석이조의 효과가 있어.
I can tell by the way she spoke that she was loaded.,그녀가 말을 하는 것을 보면 술에 취했다는 것을 알 수 있습니다.
You hit the nail on the head. Don't worry. I'm going to finish the rest of it later.,정곡을 찌르는 구만. 걱정 마. 나머지 부분은 나중에 먹을 거야.
That's the last straw. My patience has run out.,참을 만큼 참았습니다. 인내심이 바닥났거든요.
"As far as I am concerned, the ball is in your court.","내 생각에는, 공은 니가 쥐고 있다."
He never speaks up for himself. He is such a wimp.,그는 절대로 자신을 대변하지 않습니다. 그는 정말 약삭빠릅니다.
My heart is in my mouth.,심장이 터질 것 같아.
"If you try to finish off your work in a hurry, you might end up making a lot of mistakes and then you would have to redo it. Haste makes waste, you know.",일을 급하게 끝내려고 하면 실수를 많이 하고 다시 해야 할 수도 있습니다. 서두르면 일을 그르치게 돼요.
"Being a bachelor degree graduate may have been enough 20 years ago, but these days they're a dime a dozen, says Josh Licence.","20년 전만 해도 학사 졸업자로 충분 했을 지 모르지만 요즘은 흔하다고 조쉬 라이센스는 말한다,"
I finally got around to cleaning the windows.,마침내 창문을 청소할 수 있게 되었다.
The aroma of freshly baked bread makes my mouth water every time I walk by the bakery.,빵집을 지날 때마다 갓 구운 빵 냄새가 군침을 돌게 합니다.
Please cover me if I end up not knowing what to say at the meeting.,회의에서 제가 무슨 말을 해야 할지 모르겠으면 제발 도와 주세요.
"Australia seem likely to get to the semis, and a win today would nail it on.","호주는 준결승에 진출할 것으로 보이며, 오늘의 승리는 그것을 확정지을 것입니다."
I advised you not to buy a pig in a poke.,내가 충동구매 하지 말라고 충고 했지.
"There was not enough evidence to convict him, so he beat the rap and was set free.","유죄를 선고할 증거가 충분하지 않아서, 그는 혐의를 벗고 풀려났습니다."
"It's no use crying over spilt milk, he's spent all the money.","엎질러진 물이야, 그는 돈을 다 써버렸어"
"At least for Cooper, probably best to let sleeping dogs lie on this one.",적어도 쿠퍼에게는 긁어 부스럼 만들지 않는 것이 가장 좋을 것입니다.
Beat around the bush,빙빙 돌리다
She couldn't figure out one of her math problems.,그녀는 그녀의 수학 문제 중 하나를 이해하지 못했어요.
"You need to check these files carefully. Do not try to finish them too quickly – remember, haste makes waste.",당신은 이 파일들을 주의 깊게 확인해야 합니다. 너무 빨리 끝내려고 하지 마세요. 서두르면 일을 그르치게 된다는 것을 기억하세요.
She needs to make up her mind about which college to attend before the application deadline.,그녀는 지원 마감 전에 어느 대학에 다닐지 결정해야 합니다.
"To make a long story short, I'd like you to get over here right away.","한마디로 말하면, 네가 당장 여기로 왔으면 좋겠어."
Please don't butt in to our conversation; it's personal.,제발 우리 대화에 끼어들지 마세요. 그건 개인적인 일이니까요.
I'll take a rain check on that.,다음 기회로 미뤄도 될까요?
Ann was unpleasant and hard as nails.,앤은 심술궂고 인정사정 없다.
A bird in the hand is worth two in the bush.,남의 집 금송아지보다 제 집 돼지 새끼가 낫다.
Cut off your nose to spite your face.,누워서 침 뱉기.
The woman finally got in trouble because it was found out that she was running a scam.,그 여자는 사기를 치고 있었다는 사실이 밝혀져 문제가 생겼어요.
Will you lay out the money for the meal and I will pay you back tomorrow?,식사 비용을 내주시면 내일 갚겠습니다?
"I realized I gained a lot of weight, so I finally took the plunge and decided to seriously go on a diet.","저는 제가 살이 많이 쪘다는 것을 깨달았고, 결국 저는 결단을 내렸고 진지하게 다이어트를 하기로 결정했습니다."
Slow and steady won the race when it comes to learning any language.,언어를 배우는 것이라면 꾸준히 하는 자가 성공한다.
"After his first accident, Sam is quite careful in driving now because a burnt child dreads a fire.","샘은 처음 사고를 당한 후, 자라보고 놀란 가슴 솥뚜껑 보고 놀란다고 지금은 운전에 상당히 신중을 기하고 있습니다."
A co-worker gave me a hand.,동료가 저를 도와줬습니다.
Don't worry. There are other fish in the sea.,걱정하지마. 세상에 쌔고 쌘 게 남자야.
"The post box will arrive soon, but your guess is as good as mine.",우체 택배가 곧 도착할 거에요. 하지만 저도 모르긴 마찬가지 입니다.
Chill out. Slow and steady wins the race.,진정해요. 급하게 먹은 밥은 체하기 마련이에요.
"He never thought he would be able to put on a show, but he pulled it off.","그는 자신이 쇼를 할 수 있을 거라고는 전혀 생각하지 못했지만, 놀라운 성과를 거두었습니다."
The new sales team manager is really onn the ball.,새로 온 영업 팀장은 정말 모든 일을 훤히 꿰고 있어요.
A penny saved is a penny earned! Always mind the 'saving habits'.,티끌모아 태산이야 항상 저축하는 습관을 염두에 두렴.
I am an amateur sleuth with limited selfcontrol and a computer. It was a perfect storm.,자제력이 부족한 아마추어 탐정 손에 노트북을 쥐여주면 이렇게 최악의 상황이 된다.
I can't finish this. I think I might have bitten off more than I can chew.,이건 도저히 못하겠어. 내가 너무 욕심부렸나 봐.
Take what she says with a grain of salt. She has quite an imagination.,그녀가 말하는 건 감안하면서 들어. 상상력이 아주 풍부해.
"I haven't heard from my college roommate in 10 years. Last week, out of the blue, he called me.",10년 동안 대학 동기 소식을 듣지 않았어. 지난 주에 갑자기 전화가 왔어.
We need to pinpoint the cause of the problem.,우리는 문제의 원인을 정확히 알아내야 해.
The workers will need to form a union because a house divided against itself cannot stand.,노동자들은 노동조합을 결성해야 할 것이다. 왜냐하면 한 집안이 서로 분열하면 망하게 되기 때문이다.
To serve them French cuisine is like casting pearls before swine. ,그들에게 프랑스 요리를 대접한다는 것은 돼지 목에 진주목걸이를 다는 격이다.
"I hear you, but we'll cross that bridge when we get to it.","너의 심정은 이해 하지만, 그건 그때 가서 대처하자."
He may be a good man for all I know. ,그는 의외로 좋은 사람일지도 모른다.
I find the whole issue about these gender roles a storm in a teacup.,저는 이러한 성 역할에 대한 모든 문제가 쓸데 없는 소동이라고 생각합니다.
A fish rots from the head down.,윗물이 맑아야 아랫물이 맑다
Your success is one for the books.,네 성공은 기록해 둘만하다.
Everyone comes to her desk and takes supplies; she's hard up for pencils.,모든 사람들이 책상으로 와서 준비물을 가져갑니다. 그녀는 연필이 절실히 필요합니다.
It takes one to know one. ,사돈 남 말 한다.
He has bigger fish to fry.,그에게는 더 중요한 일이 있다.
"When he started his career, he was shy and reserved – no one thought he would cut the mustard; but now, his achievements speaks for themselves.","그가 그의 경력을 시작했을 때, 그는 수줍고 내성적이었습니다. 아무도 그가 성공할 것이라고 생각하지 않았습니다. 하지만 지금, 그의 업적은 그들 스스로를 증명합니다."
One does not get chances to add a feather in their cap too often. So the opportunity to do so should be utilized well.,성과를 추가할 기회가 매우 자주 주어지는 것이 아닙니다. 그래서 그렇게 할 수 있는 기회를 잘 활용해야 합니다.
"She thought that she was pregnant, but it was a false alarm.","그녀는 자신이 임신했다고 생각했지만, 그것은 거짓 정보였습니다."
I had so much to do that I was running around in circles.,나는 할 일이 많아서 무작정 돌아다녔어요.
It is best to go to the principal together since a house divided against itself cannot stand.,한 집안이 서로 분열하면 망하게 되기 때문에 함께 본당에 가는 것이 가장 좋습니다.
He has been building houses for many years and has a lot of know-how.,그는 여러 해 동안 집을 짓고 있고 많은 노하우를 가지고 있습니다.
Lock the stable after the horse is stolen.,소 잃고 외양간 고치다.
You are better than Jonh at English by a country mile.,너는 존보다 영어에서 훨씬 더 뛰어나다.
Every cloud has a silver lining.,나쁜 일에도 좋은 면은 있어.
She's ready to leave at the drop of a hat. ,그녀는 즉시 떠날 준비가 되어 있다.
"When he lost the soccer game, he couldn't stop crying. I told him to get a grip on himself.","축구 경기에서 졌을 때 울음을 멈추지 못했고, 감정을 다스리라고 했습니다."
"If Obama wins, Hillary's hands are tied for eight years, and her days will be spent playing second banana.",만약 오바마가 이긴다면 힐러리는 8년동안 손이 묶인 채 있어야 한다. 그리고 그 시간 동안 그녀는 2인자로 시간을 보낼 것이다.
"He has pulled himself together for a couple days, and he's preparing for test.","몇일 동안 마음을 가다 듬고 난 후에, 시험 준비 하고 있어."
Her heart is nnot in it and she kept her head in the clouds.,그녀는 그럴 마음이 없고 그냥 뜬구름만 잡고 있어요.
He doesn't have a snowball's chance in hell of getting the job.,그가 직업을 다시 구할 가망이 없어.
"He seems confident, but the devil is in the details. He may have missed something important. ","그는 자신감에 찬 듯 보이지만, 세부사항에 문제가 있을지도 몰라 중요한 부분을 놓친 게 아닐까."
She's been on cloud nine since she heard the news of her engagement.,그녀는 약혼 소식을 들은 후로 기분이 좋아졌습니다.
you should play it by ear.,그때 상황 봐서 결정해.
"I know you're in a rush, so I'll make a long story short.","급하시다는 걸 아니까, 간단히 말씀드릴게요."
Mary and John were good friends for many years. Finally they got into a big argument and became enemies. That just shows that familiarity breeds contempt. ,"메리와 존은 사이가 좋았는데, 마침내 큰 싸움이 벌어져 지금은 원수가 되었다. 바로 지나치게 친하면 사이가 나빠진다.는 것이지."
He has to handle her with kid gloves.,그는 그녀를 정말 조심스럽게 대해야 해요.
"He loved his devoted girlfriend Louise. Two peas in a pod, they shared the same sense of humor and zest for life.",그는 헌신적인 여자친구 루이즈를 사랑했습니다. 꼭 닮은 그들은 같은 유머 감각과 삶에 대한 열정을 공유했습니다.
"Oh, It isn't rocket science.",별 것도 아닌 것 같은데 뭐.
"Since he started his new business, he's really cleaning up.",그는 새 사업을 시작한 이후로 정말 큰 수익을 올리고 있습니다.
The salesman said he would give me a 5-year warranty; I told him to put it in black and white.,판매원은 내 구매에 5년 보증을 한다고 했어. 그걸 흑백으로 써 달라고 했어.
Everyone knows that a stitch in time saves nine.,모든 사람들은 제때의 한 땀이 뒤의 아홉 땀을 던다는 것을 안다.
"Since sales improved, he is doing better and he's getting back on his feet.","매출이 개선된 이후로, 그는 더 나아지고 있고 재정적으로나 육체적으로 건강해지고 있습니다."
"We need to find employees for the new company, but all the talented ones are already working. It looks like we need to scrape the bottom of the barrel and hire people with less talent.","새로운 회사에 직원을 구해야 하지만 이미 모든 재능있는 사람들이 일하고 있어요. 우리는 최선을 다한 후 남은 것은 무엇이든 다 가져가고, 덜 재능 있는 사람들을 고용해야 할 것 같습니다."
She had butterflies in her stomach as she walked out onto the stage.,그녀는 무대 위를 걸으면서 초조함으로 가득 차 있었다.
But there was a method to his madness.,하지만 그 만의 방식이 있다.
"Tom tried to fix his car engine with just a little knowledge of mechanics, and he ended up causing more damage; it's true that ""A little knowledge is a dangerous thing.""","톰은 기계에 대한 약간의 지식만으로 자동차 엔진을 고치려고 했으나 결국 더 많은 피해를 입혔습니다. ""선무당이 사람 잡는다""라는 말이 사실이다."
The company management had 11 decision makers. No wonder it closed operations since too many cooks spoil the broth.,회사 경영진은 11명의 결정권자가 있었습니다. 사공이 많으면 배가 산으로 간다고 당연히 문을 닫았습니다.
"They've hardly been apart since they met. They are always together, like two peas in a pod.",그들은 만난 이후로 거의 헤어지지 않았습니다. 그들은 항상 함께 있습니다. 마치 콩깍지 속에 있는 두 개의 완두콩처럼 꼭 닮았습니다.
"When John was made redundant, the family had to weather the storm until he found a new job.","존이 해고되었을 때, 그 가족은 그가 새로운 직업을 찾을 때까지 이 고비를 견뎌야 했습니다."
"I never really considered myself smart based on traditional measures, but as Walter Isaacson said Smart people are a dime a dozen.","나는 전통적인 방법에 근거하여 나 자신을 똑똑하다고 생각한 적은 없지만, 윌터 아지가슨이 말했듯이 똑똑한 사람은 흔하다."
Every cloud has a silver lining.,하늘이 무너져도 솟아날 구멍이 있다.
Jeffrey definitely has a preferred type of woman that he finds attractive. The last three have been like peas in a pod.,제프리는 분명히 매력적이라고 생각하는 선호하는 유형의 여성을 가지고 있습니다. 마지막 세 개는 똑 닮은거 같았습니다.
"Since my little daughter fell from the swing, she doesn't like swinging it anymore. Truly said, once bitten, twice shy.","제 어린 딸이 그네에서 떨어져서 더 이상 그네 타는 것을 좋아하지 않습니다. 진짜로, 한번 물리면 그 다음은 조심합니다."
"Even though I beat you in the game, you still congratulated me. You are a good sport.",비록 경기에서 이겼지만 그래도 축하해주셔서 정말 좋은 스포츠 맨입니다.
I won the contest fair and square.,저는 그 대회에서 정정당당하게 우승했습니다.
Prime Minister summed up the speech in the saying a stitch in time saves nine.,총리는 연설을 제 때의 한 바늘이 아홉을 절약한다는 말로 요약했습니다.
The doctor said he will leave no stone unturned to find a cure for his illness.,의사는 그가 그의 병의 치료법을 찾기 위해 수단과 방법을 가리지 않을 것이라고 말했습니다.
Her presentation for the CEO went really well. She totally nailed it,CEO를 위한 그녀의 발표는 정말 좋았어. 그녀는 제대로 해낸거야.
"Since I am good friends with the owner of the restaurant, dinner was on the house.",식당 주인과 친하기 때문에 저녁 식사는 식당에서 무료로 제공했습니다.
The disgraced politician was left to ride out the storm as he refused to resign.,불명예스러운 정치인은 사임을 거부하면서 고비를 이겨낼 수 있었습니다.
Oh sounds great but can I take a rain check? I have a lot on my plate.,"오, 좋아요. 하지만 다음 기회로 미뤄도 될까요? 저는 해야 할 일이 많아요."
Cut somebody some slack,조금 너그럽게 봐주다.
"As the days passed without any communication from the authorities, the family held onto the belief that no news is good news regarding their missing pet.",당국으로부터 아무런 연락도 없이 하루가 지나자 가족들은 실종된 반려동물에 대해 무소식이 희소식이라는 믿음에 사로잡혀 있었습니다.
Safety of our employees is the most ciritical priority. And we believe actions speak louder than words.,우리 직원들의 안전이 가장 중요한 우선 사항이예요. 그리고 우리는 말보다 행동이 중요하다고 믿습니다.
A penny saved is a penny earned.,티끌모아 태산이다.
"Fine, Mosby can stay, but tell him he's onn thin ice.",그럼 모즈비는 남겨 둬. 그래도 조심하라고 해.
I'm two seconds away from freedom.,자유가 바로 코 앞이라고.
"It does not matter that you scored two marks less than her, you will not be given the prize because a miss is as good as mile.","당신이 그녀보다 2점을 적게 받았더라도 상관없습니다, 오십보백보 이기 때문에 당신은 상을 받지 못할 것입니다."
"My car broke down in the middle of nowhere, then, add insult to injury, it started to rain.","자동차가 갑자기 고장났는데, 설상가상으로 비가 내리기 시작했다."
pull yourself together! you have messed around for two years.,정신차려! 너 2년 동안 빈둥거렸잖아.
"In a tense negotiation, the absence of any updates led the negotiators to conclude that no news is good news, indicating a potential resolution.",긴장된 협상에서 업데이트가 없기 때문에 협상가들은 무소식이 희소식이란 결론을 내리게 되었으며 이는 잠재적인 해결 방법을 나타냅니다.
Don't remind me. I don't know I weathered the storm for almost two years.,생각하게 하지 마! 내가 거의 2년 동안 어떻게 고비를 넘겼는지 모르겠어.
It's time to take a stand and say no more.,이제 말 그만 하고 행동으로 옮길 때야.
"After second heart attack, she decided it would be best to follow her doctor's advice and call it a day.","두 번째 심장마비 후, 그녀는 의사의 조언을 따르는 것이 가장 좋을 것이라고 결심했습니다."
I don't think Bob knows as much as he says. I think we should call his bluff.,나는 밥이 본인이 말하는 만큼은 모르는 것 같아요. 허세라고 불러야 할 것 같아요.
She has her head in the clouds all day. She must be in love.,그녀는 하루 종일 산만하게 굴었다. 그녀는 사랑에 빠졌음이 틀림없다.
"Through it may be a wild goose chase, I won't stop.","비록 이게 헛수고 라고 할지라도, 난 멈추지 않을 거야."
That story never gets old.,그 이야기는 언제 들어도 웃기다.
“How can you blame me like that? huh! Pot calling the kettle black.”,"""어떻게 그렇게 나무랄 수가 있어요?"" ""흥! 똥 묻은 개가 겨 묻은 개 나무라네."""
Students are caught in a double bind between a lack of jobs if they leave school and a huge bill for higher education if they stay.,"학생들은 학교를 그만두면 일자리가 부족하고, 학교를 계속 다니면 막대한 고등교육비를 지출해야 한다는 딜레마에 빠지게 됩니다."
"When the King of Jordan visited Washington, they rolled out the red carpet and gave him a great welcome.","요르단 왕이 워싱턴을 방문했을 때, 그들은 사람을 매우 존경하며 맞이하고 크게 환영했습니다."
I don't think he'll shoot. I think he's just bluffing.,그가 총을 쏘지는 않을 거야. 그냥 허세를 부리는 거라고 봐.
"You've arrived late several times, and today is the last straw.","이미 여러 번 늦으셨기 때문에, 오늘 일에 대해선 더 이상은 무리예요."
"I didn't have time to read once-over the contract, so I gave it a once-over.",시간이 없어서 계약서를 한 번 훑어보기만 했어요.
Big Brother show controversy is more than a storm in a teacup for most of the viewers.,빅 브라더 쇼 논란은 대부분의 시청자에게 쓸데 없는 소동 그 이상입니다.
He is all about me.,그는 내게 푹 빠져있어.
