,en,ko,pred_enko
39,"When he heard the news about the delayed flight, he had to remind his impatient friend to keep your shirt on and stay calm.","비행기가 연착되었다는 소식을 들었을 때, 그는 참을성 없는 친구에게 침착함을 유지하라고 상기시켜야 했습니다.","그는 지연된 항공편에 대한 소식을 들었을 때, 급박한 친구에게 화를 내지 말고 침착해야 한다는 것을 상기시켜야 했습니다."
40,"Her friends were running late for the dinner reservation, but she told them, Don't get bent out of shape about it; I don't mind waiting a little longer.",그녀의 친구들은 저녁 식사 예약에 늦고 있었지만 그녀는 그들에게 말했습니다. 그런 일로 화내지마. 조금 더 기다려도 상관없어요.,"그녀의 친구들은 저녁 식사 예약을 위해 늦게까지 달려갔지만, 그녀는 그들에게 ""너무 화내지 마세요.""라고 말했지만, 나는 조금 더 기다릴 생각만 합니다."
41,"As she stared out of the window lost in thought, her friend asked this 'a penny for your thoughts?'","그녀기 생각에 잠긴 채 창밖을 바라보자, 그녀의 친구가 무슨 생각하냐고 물었습니다.",그녀가 생각을 잃고 창밖을 쳐다보자 그녀의 친구는 '무슨 생각 하고 있니?'라고 물었다.
42,"He tried to make things better, but to make matters worse, he just added fuel to the fire.","그는 일을 해결해 보려 했지만, 설상가상으로 문제를 더욱 악화시키기만 했다.","더 나은 모습을 만들기 위해 노력했지만, 설상가상으로 그는 불똥이 튀었다."
43,"It takes two to tango, don't you know?","손바닥도 마주쳐야 소리가 나지, 몰랐어?","손도 마주쳐야 소리가 난다고, 모르나요?"
44,A leopard cannot change its spots.,제 버릇 개 못 준다.,제 버릇 개 못 주는 법
45,a fly in the ointment.,옥의 티.,옥에 티.
46,Don't worry about the test; it's a piece of cake.,"시험 걱정하지 마세요, 누워서 떡먹기에요.",시험 걱정 마. 식은 죽 먹기야.
47,Your analysis of the problem really hit the nail on the head.,당신의 문제에 대한 분석이 정곡을 찔렀어요.,그 문제에 대한 당신의 분석이 정말 정곡을 찌른다.
48,Losing my job was a blessing in disguise; it led me to my dream career.,직장을 잃은 것이 전화위복이였어요. 제 꿈의 직장으로 이끌어줬거든요.,직장을 잃은 것은 오히려 전화위복이었습니다. 그것은 나를 꿈의 경력으로 이끌었습니다.
49,"We've been working on this project for hours, let's call it a day.","이 프로젝트 작업을 몇 시간 동안 했으니, 오늘은 그만 끝냅시다.","이 프로젝트는 몇 시간 동안 진행 중인데, 여기서 그만 해봅시다."
50,Break a leg!,행운을 빌어요!,행운을 빌어!
51,"I know you don't like confrontation, but you'll have to bite the bullet and talk to him about it.","나는 당신이 대립을 좋아하지 않는 것을 알지만, 울며 겨자먹기로 그와 이야기해야 해요","당신이 대립하는 것을 좋아하지 않는다는 것은 알지만, 당신은 울며 겨자 먹기로 그에게 그것에 대해 이야기 해야 할 것입니다."
52,"We don't have much time, so please cut to the chase and tell us what happened.","시간이 많지 않으니, 본론으로 들어가서 무슨 일이 있었는지 말해주세요.","시간이 별로 없어서, 본론으로 들어가서 무슨 일이 있었는지 말씀해 주세요."
53,You could be a narc for all I know.,당신이 마약단속반일지 알게 뭐에요.,잘은 모르지만 너는 바보일 수도 있어.
54,It takes two to tango.,손뼉도 마주쳐야 소리가 난다.,손도 마주쳐야 소리가 납니다.
55,Between the devil and the blue deep sea.,진퇴양난.,진퇴양난.
56,Drop by drop fills the tub.,한 방울씩 모여 큰 통을 채운다. 티끌모아 태산,티끌 모아 태산이다.
57,"More haste, less speed.",급할수록 돌아가라.,급할수록 돌아가라.
58,Fine feathers make fine birds.,옷이 날개다.,날개가 날개다.
59,Ignorance is bliss.,모르는 게 약이다.,모르는 게 약이다.
60,One man sow and another reaps.,재주는 곰이 부리고 돈은 되놈이 가져간다.,한 사람이 뿌리고 다른 사람이 거두게 된다.
61,You've cried wolf too many times. We'll believe it when we see it.,"콩으로 메주 쑨다고 해도 안 믿는다. 우리가 그 걸 보게 되면, 그때 믿을게.",콩으로 메주를 쑨다 해도 안 믿습니다. 우리는 그것을 보고 믿을 것입니다.
62,"And to add insult to serious injury, I've totally given up smoking, my favorite thing.",게다가 설상가상으로 난 담배도 완전히 끊었어. 내가 제일 좋아하는 건데.,게다가 심각한 부상을 입고 있어서 내가 가장 좋아하는 것인 흡연을 완전히 포기했어요.
63,"Well begun, half done.",시작이 반이다.,"막 시작했어, 절반은 끝났어."
64,One rotten apple spoils the barrel.,미꾸라지 한 마리가 온 웅덩이 흐린다.,미꾸라지 한마리가 온 웅덩이를 흐린다.
65,Speak of the devil and he will appear.,"호랑이도 제 말 하면 온다고, 그가 나타날것이다.",악마를 말하면 그가 나타날 것이다.
66,It really made it clear that a worm will turn.,지렁이도 밟으면 꿈틀한다는 사실이 정말 분명해졌습니다.,그것은 정말로 지렁이도 밟으면 꿈틀한다는 것을 알 수 있었습니다.
67,Out of the frying pan into the fire.,엎친 데 덮친 격.,여우를 피하려니 호랑이를 만난 격이다.
68,"The entrepreneur took a risk by investing in a new startup, knowing that ""nothing ventured, nothing gained."" The business became successful, and she reaped the rewards.","그 기업가는 ""호랑이 굴에 들어가야 호랑이를 잡는다""는 것을 알고 새로운 스타트업에 투자하여 위험을 감수했습니다. 사업은 성공했고 그녀는 보상을 받았습니다.","그 기업가는 ""호랑이 굴에 들어가야 호랑이를 잡는다""는 사실을 알고 새로운 스타트업에 투자함으로써 위험을 감수했습니다. 사업이 성공했고, 그녀는 보상을 받았습니다."
69,"After submitting a complaint about a faulty product, the customer hadn't received a response, but he held onto the idea that no news is good news, expecting a resolution in his favor.",고객은 결함이 있는 제품에 대한 불만 사항을 제출한 후 응답을 받지 못했지만 그는 무소식이 희소식이라는 생각을 고수하며 자신에게 유리한 해결을 기대했습니다.,불량 제품에 대한 불만을 제출한 후 고객은 응답을 받지 못했지만 무소식이 희소식이라는 생각을 고수하며 자신의 유리하게 해결이 될 것으로 기대했습니다.
70,"I've tried to discuss my feelings with her, but it's like talking to a brick wall.","그녀와 내 감정에 대해서 이야기를 해보려고 했지만, 이건 마치 소귀에 경 읽기 같아.","나는 그녀와 내 감정에 대해 논의하려고 노력했지만, 그것은 마치 벽에 대고 이야기를 나누는 것과 같습니다."
71,Money makes the mare go. Money is everything.,돈이면 귀신도 부릴 수 있다.,돈이 귀신을 부릴 수 있습니다. 돈은 모든 것입니다.
72,Her best friend stabbed her in the back and they never spoke to each other again.,"믿었던 가장 친한 친구의 도끼의 발등을 찍혔고, 그들은 다시는 서로 말을 하지 않았습니다.",그녀의 가장 친한 친구가 그녀를 배신했고 그들은 다시는 서로 말을 하지 않았습니다.
73,"The grass is greener on the other side of the fence, so you need to know how to thank yourself for what you have.","남의 떡이 커 보인다고, 그냥 가진 것에 대해 감사할 줄 알아야 해.","남의 떡이 커보여, 네가 가진 것에 대해 어떻게 감사해야 하는지 알아야 해."
74,Look before you leap.,돌다리도 두들겨 보고 건너라.,돌다리도 두드려 보고 건너라.
75,Lock the stable after the horse is stolen.,소 잃고 외양간 고치기.,소 잃고 외양간 고치다.
76,This horse is like my family.,이 말은 내 가족과 같아.,이 전화는 내 가족 같은 전화예요.
77,Let sleeping dogs lie.,긁어 부스럼 만들지 마라.,긁어 부스럼 만들지 마라.
78,It never rains but it pours.,설상 가상이다.,좋은 일이든 나쁜 일이든 한 꺼번에 일어나.
79,It is no use crying over spilt milk.,이미 엎지러진 물을 담아도 소용이 없다.,엎질러진 물이야.
80,A little learning is a dangerous thing.,선무당이 사람 잡는다.,선 무당이 사람 잡는다.
81,"Don't worry, If you need me, I'll be there at the drop of a hat.",내가 필요하면 언제든지 달려갈 테니 걱정하지마.,"걱정하지마, 네가 필요하면 곧 갈게."
82,Don't count your chickens before they are hatched.,김치 국물부터 마시지마라.,떡 줄 사람은 생각지도 않는데 김칫국부터 마신다.
83,A friend in need is a friend indeed.,어려울 때 친구가 참된 친구다.,어려울 때 친구가 진정한 친구이다.
84,A burned child dreads the fire.,자라보고 놀란가슴 솥뚜껑보고 놀란다.,불에 탄 어린아이가 놀란 가슴 솥뚜껑 보고 놀란다.
85,The pot calls the kettle black.,똥 묻은 개가 겨 묻은 개 나무란다.,똥 묻은 개가 겨 묻은 개 나무라고.
86,Walls have ears.,낮말은 새가 듣고 밤말은 쥐가 듣는다.,낮말은 새가 듣고 밤말은 쥐가 듣는다.
87,Too many cooks spoil the broth.,사공이 많으면 배가 산으로 간다.,사공이 많으면 배가 산으로 간다고.
88,Do you really agree with that the end justifies the means?,정말 너 모로 가도 서울만 가면 된다고 생각해?,목적이 수단을 정당화한다는 것에 정말로 동의합니까?
89,Every cloud has a silver lining., 하늘이 무너져도 솟아날 구멍이 있다.,하늘이 무너져도 솟아날 구멍은 있다.
90,I will eat my hat.,내 손가락에 장을 지지겠다.,내 손을 장 지진다.
91,There is no smoke without fire.,아니 땐 굴뚝에 연기 날까.,아니 땐 굴뚝에 연기 날까.
92,Every dog has his day.,쥐구멍에도 볕들 날 있다.,쥐구멍에도 볕 들 날 있다.
93,Her scheme of being a movie star is a wild-goose chase.,영화 배우가 되겠다는 그의 계획은 터무니 없는 헛소리 입니다.,영화배우라는 그녀의 계획은 헛수고다.
94,"We wanted to play touch football, but now it's raining cats and dogs, so I guess we'll stay inside.","터치 풋볼을 하고 싶었는데, 지금 비가 엄청나게 많이 와서, 안에서 지내야 할 것 같아요.",우리는 터치볼을 하고 싶었지만 지금은 비가 억수로 쏟아져서 안에 있을 것 같습니다.
95,I don't feel at all sorry that people are calling you names. You're getting a taste of your own medicine.,사람들이 너에 대해 험담 하는 것에 대해 전혀 미안하지 않아. 자업자득이야.,사람들이 당신을 비난하고 있다는 것은 전혀 유감이 없습니다. 당신은 자업자득입니다.
96,"The old farmhand is hard as nails, but he's got a heart of gold underneath the tough exterior.","늙은 머슴은 인정사정 없는 사람이지만, 그의 거친 겉모습과 다르게 안에는 좋은 마음씨를 가지고 있습니다.",옛 농수는 인정사정 없다. 하지만 그는 딱딱한 겉모습 아래에 금금을 가지고 있습니다.
97,But she still aired her dirty laundry in public.,하지만 그녀는 여전히 자신의 치부를 공공연히 드러내고 있었다.,하지만 그녀는 여전히 자신의 치부를 공개적으로 노출했습니다.
98,This is the silliest banana oil I have ever heard.,이것은 내가 들어본 아첨 중 가장 우스꽝스럽습니다.,이건 내가 들은 가장 알찬 바나나 오일이다.
99,Banana oil is also effective for diminishing blemishes such as stretch marks,바나나 오일은 또한 튼살과 같은 잡티를 줄이는 데 효과적입니다.,바나나 오일은 또한 스트레칭 마크와 같은 흠을 줄이는 데 효과적이다.
100,You will slip on a banana skin if you are not careful.,조심하지 않으면 바나나 껍질에 미끄러질 것입니다.,신중하지 않으면 실패하게 될 것입니다.
101,The new tax has proved to be a banana skin for the mayor.,새로운 세금은 시장에게 문제를 야기 시킬 것 임이 입증되었습니다.,그 새 세금은 시장에게 무용지물이라는 것을 증명했습니다.
102,I think Tom is always second banana unless Tim leave his place.,나는 Tim이 자리를 떠나지 않는 한 Tom은 항상 2 인자가 될 것이라고 생각합니다.,나는 팀이 자리를 떠나지 않는 한 톰이 항상 2인자라고 생각한다.
103,"By the skin of your teech, but you pased.",너 간신히 합격했다.,"약간의 실수지만, 당신은 무사했습니다."
104,"With such arguments looming, tour operators find themselves in a double bind.",이러한 주장이 제기되면서 여행사들은 딜레마 상태에 빠졌습니다.,"그러한 논쟁이 불거지고 있는 상황에서, 관광 사업자들은 자신을 딜레마에 빠지게 된다."
105,Do you want to buy a pig in a poke?,넌 충동구매 하고 싶어?,충동구매하고 싶어?
106,Doesn't that seem like it kills two birds with one stone?,그거 완전 일석이조 같은데?,그게 일석이조인 것 같지 않아?
107,This is a documentary on his voyage from rags to riches,이건 개천에서 용난 그의 여정에 대한 다큐멘터리 이다.,이것은 그가 개천에서 용난 항해에 관한 기록이다.
108,This is totally a piece of cake to him.,이건 그에게 완전 식은 죽 먹기라고.,그에게 이건 완전히 식은 죽 먹기다.
109,I totally slipped my mind!,완전 깜빡 했어!,깜빡 잊어버렸어!
110,"I loved the last article, but this one an global warming is icing on the cake!","이전 기사도 너무 좋았는데, 이번 지구 온난화에 대한 건 금상첨화네!","마지막 기사는 좋았지만, 지구온난화는 금상첨화야!"
111,"Eating comes first, come here and eat.","금강산도 식후경 이라고, 이리 와서 드세요.","금강산도 식후경이지, 여기 와서 먹어."
112,"I thought there is something, but I can't quite put my finger on it.","뭔가가 있다고 생각 했는데, 딱히 뭐라고 말은 못하겠어요.","뭔가 있다고 생각했는데, 딱히 집어서 뭐라고 말을 못하겠네."
113,Everyone has a skeleton in the closet.,털어서 먼지 안 나는 사람 없는 법이에요.,털어서 먼지 안나는 사람 없는 법이에요.
114,So who spilled the beans about her affair with David?,그렇다면 데이비드와의 관계에 대한 비밀을 누가 누설 했습니까?,그렇다면 누가 David와 불륜에 대해 비밀을 말했습니까?
115,Do not cast your pearls before swine.,돼지 목에 진주 목걸이 달지 마라.,돼지에게 진주 목걸이를 걸지 마세요.
116,"We were foreigners in a forbidden area, the authorities had found out and we were about to face the music.","우리는 금지된 지역에 있던 외국인이었고, 당국에 발각되어 처벌을 받을 것으로 예상되었습니다.",우리는 금지된 지역에 있는 외국인이었고 당국이 알게 됐고 우리는 벌을 마주하고 있었다.
117,Tell me about it. I just waited an hour for them to fry a chicken.,내 말이. 닭  튀기는 데 한시간이나 기다렸어.,내 말이. 나는 그들이 닭 잡는데 방금 기다렸어.
118,I want to know more details. Please tell me about it.,좀 더 자세한 내용을 알고 싶은데 알려주세요.,더 자세한 내용은 알고 싶어요. 말해 주세요.
119,Don't tell me Gomez Adams is your father. Guessin' the apple doesn't fall far from the tree.,설마 고메즈 아담스가 네 아버지니? 피는 못 속이는 구나.,고메스 Adams가 당신의 아버지라고 말하지 마세요. 구젠신(Guysin)은 피는 못 속입니다.
120,A simple way to break a bad habit.,나쁜 습관을 고칠 수 있는 단순한 방법.,나쁜 습관을 깨뜨릴 수 있는 간단한 방법.
121,"Yesterday, my mom was having a bad hair day so I decided to show her my report card this evening.","어제, 엄마가 일진이 안 좋은 하루를 보냈어요. 그래서 오늘 저녁에 성적표를 보여주기로 했어요.",어제 엄마가 일진이 안 좋아서 오늘 저녁 성적표 보여드리기로 했어요.
122,Do you heard the saying of a bad workman always blames his tools. It sounds like you.,서투른 목수가 장비 탓한다는 속담 들어 봤나요? 당신처럼 들리네요.,서투른 목수가 연장 탓한다는 말을 들었나요? 너처럼 들리네요.
123,It's a very big ask to add that kind of extra component to the standard cosmological model.,표준 우주 모델에 그런 종류의 추가 구성 요소를 추가하는 것은 매우 만만치 않은 요청입니다.,표준 우주학적 모델에 그런 추가적인 성분을 추가하는 것은 매우 어려운 일입니다.
124,Keep smiling although you are having a bad break.,일진이 사나운 날 일이라도 미소를 유지하여라.,운이 나쁘긴 하지만 계속 웃고 있어.
125,Those Chinese fireworks are so cheap. We literally get a bigger bang for our buck.,그 중국 불꽃놀이는 너무 저렴해요. 말 그대로 가성비 최고에요.,그 중국 불꽃놀이는 정말 싸다. 우리는 그야말로 우리의 돈보다 더 큰 돈을 벌게 된다.
126,Breaking my arm was a blessing in disguise. I married the nurse.,팔 부러진게 오히려 잘된 일이였어. 그 간호사랑 결혼했어.,내 팔을 부러뜨린 것은 오히려 전화위복이었습니다. 나는 간호사와 결혼했습니다.
127,You've got a chip on your shoulder about me.,너 나에 대해 불만을 가지고 있는 것 같아.,너 나한테 화가 나 있어.
128,He is a diamond in the rough.,그는 흙 속의 진주다.,그는 긁지 않은 복권이야.
129,Porsches are a dime a dozen in this area.,이 지역에는 포르셰가 흔하다.,이 지역에는 포르셰가 흔해 빠졌다.
130,"You'll be making so much money, our standard fee will be a drop in the bucket.",돈을 많이 벌게 될텐데 그 정도 비용은 새 발의 피죠.,"당신은 그렇게 많은 돈을 벌게 될 것이고, 우리의 표준 수수료는 새발의 피가 될 것입니다."
131,"When I first moved to Australia, I felt a fish out of water.","호주에 처음 갔을때, 어색하고 적응하기 힘들었어.","처음 호주로 이사 왔을 때, 기분이 어색했어요."
132,I wish I weren't a fly on the wall.,몰래 남들 구경하고 싶지 않은데.,나 몰래 구경하는 사람이 아니었으면 좋겠어.
133,"I've heard that there has been a lot of infighting, so let us remember that a house divided against itself cannot stand.","내분이 많았다고 들었는데, 뭉치면 살고 흩어지면 죽는다는 말을 기억합시다.","그간 다툼이 많이 있었다고 들었는데, 우리 모두가 서로 분열하면 망하게 된다는 것을 기억합시다."
134,"I'm not sure if I'm qualified for the job, but I have a foot in the door thanks to my friend who works there.","그 일을 할 자격이 있는지 확신이 안 서지만, 거기서 일하는 내 친구 덕분에 발을 들였다.","직업에 자격이 있는지 확실하지 않지만, 그곳에서 일하는 친구 덕분에 문에 발을 들여 놓았습니다."
135,"I'm sure everyone knows the motto: 'United we stand, divided we fall,'' he said.",뭉치면 살고 흩어지면 죽는다' 라는 말을 모두 알 것이라 생각한다.,"그는 ""우리는 독립하고, 분열하면 죽는다""라는 모토를 모두 알고 있을 것 같다."
136,"He has promised not to tell lies any more, but a leopard can't change his spots.","그는 더 이상 거짓말을 하지 않겠다고 약속했지만, 표범은 반점을 바꿀 수 없는 법이다.",그는 더이상 거짓말을 하지 않겠다고 약속했지만 제 버릇 개 못 준다.
137,A little bird told me you were having big problems.,"누군가한테 들었는데, 너 큰 고민이 있다면서.","어디서 들었는데, 너 큰 문제가 생겼다고."
138,She eats like a little bird.,아기새처럼 받아 먹네요.,그녀는 새같이 먹고 있어요.
139,He said it was all a load of cobblers.,그는 그것은 모두 순 헛소리라고 말했다.,그는 그게 모두 말도 안 되는 소리라고 말했습니다.
140,"Ever conscious that a picture paints a thousand words, Cookson interweaves multiple stories with simple visual images. ","Cookson은 백문이 불여일견 이라는 것을 인식하고, 단순한 시각적 이미지로 여러 이야기를 엮어냅니다.",백문이 불여일견이라는 사실을 항상 의식하고 있는 Cookson은 간단한 시각적 이미지로 여러 이야기들을 서로 엮는다.
141,The chairman? A safe pair of hands of course.,의장이요? 물론 믿을만한 사람이죠.,의장님? 간단한 절차요.
142,This new trend in Spanish society has also brought a sea change to restaurants specializing in lunch menus.,스페인 사회의 이 새로운 트렌드는 또한 점심을 전문으로 하는 레스토랑에 엄청난 변화를 가져다 주었다.,스페인 사회의 이러한 새로운 트렌드는 또한 점심 메뉴 전문 식당들에 엄청난 변화를 가져다 줬습니다.
143,You're a sight for sore eyes.,너를 보니 정말 반갑다.,반갑다.
144,It needs a shot in the arm.,그건 도움 되는 게 필요하다.,활력소가 필요해요.
145,Thank you for cheering me up. It was a real shot in the arm.,힘을 내게 해 주셔서 고맙습니다. 정말 큰 힘이 되었습니다.,힘내줘서 고마워. 활력소가 됐어.
146,It is a sight for sore eyes to go down to the docklands and see this hive of activity in an area which 10 years ago was completely derelict.,부두로 내려가 10년 전에는 완전히 버려졌던 지역에서 활발하게 활동하는 벌집을 보는 것은 참으로 반가운 광경입니다.,10년 전에 완전히 소실되어 있던 지역의 활동 구역을 선착장으로 내려가서 보는 것은 보기 좋은 광경입니다.
147,50 police officers to arrest two unarmed men is surely using a sledgehammer to crack a nut.,50명의 경찰이 비무장 남성 2명을 체포하는 것은 작은 일에 너무 큰 힘을 쓰는 것과 같습니다.,unarmed 남자 두 명을 체포하기 위해 50명의 경찰관이 칼을 쓰는 것은 분명 부적절합니다.
148,"He was a sorry sight, soaked to the skin and shivering.",그는 안타까운 모습으로 온 몸이 흠뻑 다 젖은 채 떨고 있었다.,"그는 안타까운 광경이었고, 상처받고 분만했습니다."
149,"Before the roof leak gets worse, let's repair it now. A stich in time saves nine.",지붕 누수가 더 심해지기 전에 지금 수리합시다. 문제를 즉각 처리하면 나중에 수고를 덜 수 있어요.,지붕 누수가 더 심해지기 전에 지금 수리합시다. 제 때의 정비법은 9건의 수고를 덜 수 있습니다.
150,The hotel is within a stone’s throw of the beach.,그 호텔은 해변에서 엎어지면 코 닿을 거리 내에 있다.,그 호텔은 바닷가와 엎어지면 코 닿을 거리에 있습니다.
151,Now you get a taste of your own medicine.,이제 넌 자업자득이다.,이제 너는 자업자득이다.
152,My elongated face is a thorn in my side.,나의 늘어진 얼굴은 고민거리이다.,팔팔한 얼굴이 내 골칫거리다.
