Idioms,en,ko
,Talking about her current book and her previous bbestseller is like comparing apples and oranges.,그녀의 현재 책과 이전 베스트셀러에 대해 이야기 하는 것은 터무니 없는 비교다.
,We really can't compare the data any more. It's just apples and oranges.,우리는 그 자료를 더이상 비교 할 수 없다. 그 자료는 비교할 수 없다.
,"I mean, we are really talking apples and oranges when we compre those religions.","내 말은, 우리가 종교를 비교할 때, 우리는 비교 할 수 없는 것을 얘기 하고 있다는 말이다."
,Comparing a neighborhood grocery and a giant supermarket is just like comparing apples and oranges.,동네 식료품 잡화점과 거대 슈퍼 마켓을 비교하는 것은 터무니 없는 비교이다.
never gets old.,fried chicken never gets old.,치킨은 절대 질리지 않아.
,This song never gets old.,이 노래는 절대 질리지 않아.
,This joke never gets old.,이 농담은 언제 들어도 재밌네.
,That story never gets old.,그 얘긴 언제 들어도 재밌어요.
,This movie never gets old.,이 영화는 절대 질리지 않아.
,This color never gets old.,이 색깔은 안 질려.
,my mom's soup never gets old.,엄마표 스프는 언제 먹어도 맛있어 안 질려.
,That story never gets old.,그 이야기는 언제 들어도 웃기다.
fell into my lap.,Free tickets just fell into my lap.,공짜표가 넝쿨째 들어왔어.
,this opportunity just fell into my lap.,좋은 기회가 넝쿨째 들어왔어요.
,Great. Becase a pretty big opportunity just fell in my lap.,좋아요. 생각지도 않게 좋은 기회가 넝쿨째 들어왔어요.
A blessing in disguise,A blessing in disguise,전화위복
,I guess it was a blessing in disguise.,전화위복이란 게 이런 건가 봐.
,Losing my job was a blessing in disguise because it pushed me to start my own business.,직장을 잃은 것은 제 사업을 시작하게 된 계기가 되었기 때문에 오히려 전화위복이었다.
,It was really a blessing in disguise that you were sick today.,네가 오늘 아픈 것은 뜻 밖의 좋은 결과야.
A dime a dozen,A dime a dozen,매우 평범한
,A dime a dozen,매우 흔해 빠지다.
,Ph. D's are a dime a dozen in korea.,한국에는 박사 학위를 가진 사람들이 흔해 빠졌다.
,Porsche are a dime a dozen in this area.,이 지역에는 포르셰가 흔해 빠졌다.
,"Bananas used to be very expensive in Korea, but nowadays they are a dime a dozen.","바나나가 전에는 한국에서 매우 비쌌지만, 요즘은 매우 흔하다."
,"Superhero sequels are a dime a dozen at the cineplex, and they often suffer from quality-control issue.","슈퍼 히어로 속편은 시네플렉스에서 흔히 볼 수 있으며, 품질 관리 문제로 어려움을 겪는다."
,"I never really considered myself smart based on traditional measures, but as Walter Isaacson said Smart people are a dime a dozen.","나는 전통적인 방법에 근거하여 나 자신을 똑똑하다고 생각한 적은 없지만, 윌터 아지가슨이 말했듯이 똑똑한 사람은 흔하다."
,"There's nothing English rugby doesn't know abbout pools of death just now, and pools of death are a dime a dozen in the new Europe.",잉글랜드 럭비가 지금 죽음의 수영장에 대해 모르는 것은 아무 것도 없다. 그리고 죽음의 수영장은 새로운 유럽에서는 아주 흔하다.
,"Feuds are a dime a dozen on the real housewives series, but few are as tragic as the rift between sisters Kim and Kyle Richards on Beverly Hills.",진짜 주부들 시리즈에서는 불화가 십중팔구지만 비버리힐스 에서 킴과 카일 리처드 자매의 불화만큼 비극적이지는 않다.
,"Being a bachelor degree graduate may have been enough 20 years ago, but these days they're a dime a dozen, says Josh Licence.","20년 전만 해도 학사 졸업자로 충분 했을 지 모르지만 요즘은 흔하다고 조쉬 라이센스는 말한다,"
Beat around the bush,Beat around the bush,빙빙 돌리다
,Don't beat around the bush and get to the point!,겉으로 빙빙 돌지 말고 핵심을 말해!
,Don't beat around the bush.,돌려 말하는 거 그만 둬 줘.
,I will beat around the bush no longer.,더 이상 둘러대지 않고 단도직입적으로 말할께.
,Why did you beat around the bush?,그걸 왜 이렇게 돌려 말해요?
Better late than never,Better late than never,늦더라도 안 하느니보다는 낫다
bite the bullet.,you need to bite the bullet.,울며 겨자 먹기.
,I had to bite the bullet and backed down on the demand.,나는 울며 겨자 먹기로 그 요구에 응했다
,I have decided to bite the bullet.,나는 이를 악물고 참기로 했다
,I  had to bite the bullet and backed down on the demand. ,나는 울며 겨자 먹기로 그 요구에 응했다
,but I'll just have to bite the bullet. OK?,눈 딱 감고 할게 응?
beat around the bush,"You beat around the bush, perfectly.",완곡한 거부를 해주셨습니다.
Break a leg,Break a leg,행운을 빌어!
,Break a leg!,잘해봐!
,"To hope somebody 'breaks a leg' is, in fact, a message of goodwill and good luck, usually for a stage actor or musician prior to a performance.",누군가에게 'Break a leg'을 희망하는 것은 사실 공연 시작 전 무대 위의 배우나 음악가들을 위한 호의 또는 행운의 메시지이다.
,Break a leg! I know you can do it.,"힘내! 니가 할 수 있다는 걸 알고 있어,"
,"Well, tell me to break a leg.","음, 나에게 행운을 빌어줘."
,Let's break a leg. Thanks. We sure hope so.,대박 나자. 감사합니다. 대박나면 좋겠어요.
,You just own this and break a leg. ,이걸 그냥 가지고 있으면 행운이 찾아올거야. 행운을 빌어.
,I imagine that one of them will break a leg. ,나는 그들중 한명이 행운을 빌어줄거라고 생각한다.
,I hope you break a leg.,행운이 함께 하기를.
Call it a day,Call it a day,오늘은 여기까지
,After forty years in politics I think it's time for me to call it a day.,내가 정계에서 40년을 보냈으니 이제 그만할 때도 되었다고 생각한다.
,May be you should just call it a day.,그냥 이만 끝내는 것이 좋을거야.
,"I am getting a bit tired now, so let's call it a day.","이제 저는 좀 피곤해지고 있어요, 여기서 그만 끝낼게요."
the world is my oyster,"Ahh, to feel like the world is my oyster again.",어 뭐든 할 수 있을 것만 같아요.
,"With your degrees from Harvard and MIT, the world is your oyster.","하버드나 MIT 학위만 있다면, 세상은 너의 것이야."
,After I got my first job I truly felt like the world was my oyster.,첫 직장을 얻은 후 세상이 정말 제 것처럼 느껴졌어요.
,We're concerned about our son. He doesn't want to leave home when the world is his oyster right now.,"아들이 걱정입니다. 지금 세상이 모두 제 것인데, 집을 떠나고 싶어 하지 않아요."
,Young Americans should feel like the world is their oyster but instead they are dying under student loan debt and afraid of being shot at school.,"미국 청년들은 세상에 못 할 것이 없는 것처럼 느껴야 하는데, 학자금 대출 빚에 시달리고 학교에서 총에 맞을까 두려워하고 있습니다."
,I remember when I felt like the world was my oyster and I was free to do anything.,저는 세상이 제 것처럼 느껴지고 무엇이든 자유롭게 할 수 있었던 때가 기억납니다.
,"In retirement, the world has become our oyster again.",은퇴 후 세상이 우리 것 처럼 느껴지고 뭐든 할 수 있을 것 같습니다.
Cut somebody some slack,Cut somebody some slack,조금 너그럽게 봐주다.
,"You're right, it's your first child. I'll cut you some slack buddy.",맞아. 네 첫 아이지? 그럼 당연히 좀 봐 줘야지.
,"Second of all, regarding my jackass brother, cut him some slack.",그리고 내 재수 없는 형은 좀 좋게 봐주면 안될까?
,"The other teachers are cutting Rakeem some slack, but Gabe here is not havig him to a damn thinng. Gibe that man a rasie!","다른 선생등은 라킴을 봐주는데, 게이브는 라킴한테 아예 아무것도 안 시켜요. 게이브 월급 올려줘요!"
,"maybe we could cut him some slack, given his situation.",처지를 봐서 이해를 좀 해주죠?
,"But I cut you slack because your grandmother died. Well, you've used up the rope.",할머니 돌아가셔서 봐주긴 하는데 이번이 마지막이야.
,Just cur her a little slack.,그러니 좀 봐줘요.
better late than never,"Cheer up, better late than never.","힘내, 안하는거 보다는 낫잖아."
,"It's about time, but better late than never.","이제야 하는군요, 하기야 늦더라도 아예 안 하는 것보다야 낫겠지요."
,"When he sent the ticket to the police, he included a note reading, 'Better late than never!'","그가 이 딱지를 경찰에 보냈을 때, 그는 '늦더라도 않는 것보다 낫다!'라고 쓴 메모를 함께 보냈다."
,It would be better than never interested.,관심 없는 거보다는 꾸미는 게 나아요.
cut corners,I spent all money last weekend. So I need some plan to cut corners.,나는 지난 주말 돈을 다 써버렸어. 그래서 돈을 아껴쓸 계획을 세워야겠어.
,I think he cut corners on the music and photography.,제 생각에는 음악이랑 사진에 대한 절차를 뺀 것 같아요.
,I am still looking for ways to cut corners and save money on this vacation.,저는 아직도 이번 휴가때 비용 절감 하기 위한 다른 방법을 찾고 있어요
,His company is known for cutting corners with their employees' safety.,그의 회사는 직원들의 안전에 대해 원칙대로 하지 않는 것으로 잘 알려졌습니다.
,I'm broke. I should find ways to cut corners.,나 돈을 다 썼어. 돈을 아낄 다른 방법을 찾아야 겠어.
,A lot of companies are finding ways to cut corners lately.,많은 회사들이 일반 절차와 다르지만 비용 절감할 방법들을 찾고 있다.
,You shouldn't cut corners while doing your homework.,숙제 할 때 절차 무시하고 대충 하려고 하지마.
Easy does it,Easy does it,너무 성급히 굴지 마라
,Be careful with that glass vase. Easy does it!,그 유리 꽃병은 주의해 주십시오. 신중하게 해 주세요.
,Easy does it. It's fragile!,깨지기 쉬우니 조심해서 다뤄라
,"Imagine you're living with a weasel. Doesn't sound easy, does it?",족제비가 나랑 같이 산다? 쉽지 않을걸요?
,"The cheast is bheavy, so easy does it.",그 상자 무거우니까 조심해서 하세요.
Get out of hand,Get out of hand,손을 떼다
,Get something out of your system,시스템에서 무언가를 제거하십시오
Get your act together,Get your act together,정신 차리세요
,you'd better get your act together.,정신 좀 차리시는게 좋을 거예요.
,You can do this! You just need to pull yourself together!,너 이거 충분히 할 수 있어! 정신만 차리면 돼!
,Give someone the benefit of the doubt,누군가에게 의심의 여지를 주다
,We don't have much time but if we all pull together we can get the job done.,"시간이 별로 없지만 모두가 정신을 차리면, 일을 끝낼 수 있습니다."
,If we all pull together we should be able to get the country out of the mess it's in.,"우리 모두가 마음을 가다듬고 정신 차린다면, 이 나라를 어지러운 상황에서 벗어날 수 있을 것입니다."
,You must pull yourself together and face up to life.,넌 정신차리고 삶을 직시 해야 한다.
Go back to the drawing board.,Go back to the drawing board.,처음부터 다시 시작합니다
Hang in there,Hang in there,참고 버티어라.
Hit the sack,Hit the sack,잠자리에 들다
,I was so sleepy that I hit the sack early.,나는 너무 졸려서 일찍 잤다.
,They need to hit the sack.,그 사람들 눈 좀 붙이게 해요.
,About to hit the sack. Sweet dreams everybody. ,자려는 참이야. 모두들 좋은 꿈 꿔.
,I'm bushed. I'll hit the sack.,피곤해서 잠 좀 자야겠어.
rocket science,It's not rocket science,별로 어려운 일 아니잖아
,It's not rocket science,어렵지 않아요. 쉬워요.
,"Come on, it's not rocket science, to put it bluntly.","아니, 솔직히 그 정도로 어려운 일은 아니잖아요."
,What? It isn't rocket science.,뭐? 무슨 엄청 어려운거 하는 줄 알겠어.
,"Oh, It isn't rocket science.",별 것도 아닌 것 같은데 뭐.
,Cookinng a decent meal isn't rocket sience if you follow a recipe.,만약 레시피를 따르면 괜찮은 식사를 만드는 건 어렵지 않아요.
,It doesn't take a rocket scientist to know that smoking is bad for your health.,담배가 건강에 안 좋다는 것은 누구나 알 수 있는 것이다.
,Figuring out how to use this software doesn't take a rocket scientist.,소프트웨어 사용하는 방법 알아 내는 거 그렇게 어렵지 않다.
,Let someone off the hook,누군가를 곤경에서 벗어나게 해주세요
,"I'll let you off the hook this time, but next time you steal, you'll pay for it.",이번엔 내가 봐준다. 근데 다음 번에 또 훔치면 넌 대가를 치러야 될 거야.
,Can you let me off the hook this time? I just drank a little soju.,그냥 이번만 봐주시면 안될까요? 저 소주 몇 잔 밖에 안 마셨어요.
,I'm off the hook for staying after for clean up.,나 남아서 청소하는 거 모면했다.
,I didn't let him off the hook.,봐준 게 아니에요.
,let yourself off the hook.,자신을 좀 봐줘요.
,Don't let the administration off the hook.,정부의 잘못을 봐주면 안 돼요.
,"Petty discraction to gain the Devil's sympathy, hoping I'll let you off the hook from your endless torment, huh?",이런 깜찍한 시도로 악마의 동정심을 얻어 영원한 고통의 굴레에서 벗어나 보려고 하다니 대단하군.
,"Are you ever gonna let me off the hook, Saul?",언제쯤 날 놔줄 거요?
,It's nice of you to let me off the hook.,책임을 면하게 해주니 고맙군.
,My mother has never let me off the hook for breaking her favorite lamp as a kid.,엄마는 내가 어렸을 때 엄마가 가장 아끼는 램프를 깨뜨린 것을 눈 감아주지 않으신다.
,I won't let him off the hook.,나는 그를 봐주지 않을 거야.
,It feels like he let him off the hook because of his status.,그의 신분 때문에 눈 감아 준 것 같아요.
,"To  make a long story short, I lost my job at the factory.","간단히 말해서, 나 공장 일자리를 잃었어."
,"To make a long story short, I'd like you to get over here right away.","한마디로 말하면, 네가 당장 여기로 왔으면 좋겠어."
,"I'll make a long story short, I don't want to meet you.","간단히 말할게, 너랑 만나고 싶지 않아."
,"She and I aren't together anymore, to make a long story short.","한마디로, 그녀와 난 더 이상 함께 하지 않아."
,"To make a long story short, she should have done that. ","간단히 말해서, 그녀는 그 것을 했어야 했다."
,"I know you're in a rush, so I'll make a long story short.","급하시다는 걸 아니까, 간단히 말씀드릴게요."
,Would you make a long story short?,간단히 말해 줄래요?
,"To make a long story short, you have to work out every day.","간단히 말해서, 너는 매일 운동을 해야해."
,I'll report my manager to make a long story short.,간단히 말하기 위해서 매니저에게 보고 할 예정 이다.
,"To make a long story short, I want you to go to the restaurant.","간단히 말해서, 나는 네가 그 식당에 가봤으면 좋겠어."
,The price discount ended yesterday and I just missed the boat on a great deal.,어제 가격 할인이 끝나서 기회를 놓쳤어요.
,"There were tickets available last week, but he missed the boat by waitinng till today to try to buy some.","지난주에는 표가 있었지만, 그는 오늘이 되어서야 몇장 사려고 기다리는 바람에 기회를 놓쳤다."
,"I decided not to go to college, but watching all my friends go off made me feel like I'd missed the boat.","저는 대학에 가지 않기로 했지만, 친구들이 모두 떠나는 것을 보고 있자니, 마치 기회를 놓친 것 같았어요."
,"There are others waiting to grab an opportunity like this. If you don't act fast, you are going to miss the boat.",이런 기회를 잡으려고 기다리는 다른 사람들이 있다. 빨리 행동하지 않으면 기회를 놓칠 것이다.
,People don't want to miss the boat.,사람들은 기회를 놓치고 싶어하지 않는다.
,Miss the boat,기회를 놓치다
,"If you don't buy now, you may find that you've missed the boat.","지금 사지 않으면, 이젠 너무 늦었다고 생각하게 될지도 모른다."
,do nnot miss the boat.,기회를 놓치지 마라.
,"Hurry up, or you'll miss the boat.","서둘러, 그렇지 않으면 시기를 놓칠 거야."
,"You'll miss the boat if you don't buy shares now,","네가 지금 지분을 사지 않으면, 좋은 기회를 놓치게 될 거야."
,"No pain, no gain",고통이 없으면 얻는 것도 없다
,The new sales team manager is really onn the ball.,새로 온 영업 팀장은 정말 모든 일을 훤히 꿰고 있어요.
,She does the job fast and accurately. She's really on the ball.,그녀는 일을 빠르고 정확하게 처리해요. 정말 똑 부러져요.
,I keep my eyes on the ball.,제가 맡은 일에만 전념하고 있습니다.
,He's a smart kid and has a lot on the ball.,"그는 영리한 아이이고, 일을 똑부러지게 한다."
,You have to be on the ball.,정신 바짝 차리고 있어야 해.
,"Harvey, eye on the ball. This issue here is you tried to torpedo a client.","하비, 중요한 일에 집중해, 중요한 건 자네가 의뢰인에게 한방 먹이려고 한건데."
,The new publicity manager is really on the ball.,새 홍보 부장은 일이 돌아가는 사정을 정말 훤히 꿰고 있다.
,Okay. People don't expect a girl sitting back here to just be so on the ball.,알아요. 사람들은 여기 앉아 있는 여자가 일을 잘할 거라고 기대하지 않죠.
,The new intern is totally on the ball.,새로 온 인턴은 완전 똑부러져.
,"I stayed up all night yesterday, so I'm not on the ball today.",나 어제 밤새서 오늘 빠릿빠릿하지 못해.
,I can't believe Sopfia has never done this before! She's really on the ball.,나는 소피아가 이 일을 전에 해본 적이 없다는 게 믿기지가 않아! 걘 완전 일잘러야.
,This mistake would never happen if you were on the ball.,당신이 유능했더라면 이 실수는 절대 안 일어났을 거예요.
,Are you alright? You don't seem on the ball today.,너 괜찮아? 오늘 좀 어딘가 멍해보이네.
,My girlfriend told me she wanted to take a break from our relationship.,여자친구가 나한테 우리 생각할 시간을 좀 가지자고 말했어.
,he was just pulling my leg.,그가 농담한 거였어.
,"I panicked when he said the test was tomorrow, but then I realized he was just pulling my leg.","그가 내일이 시험이라고 했을 때, 나는 깜짝 놀랐으나 곧 그가 나한테 장난치고 있다는 것을 깨달았다."
,Don't worry about what he said. He's just pulling your leg.,그가 얘기한 건 신경쓰지마. 너한테 농담 한거야.
,Tom is a real prankster. He is always pulling someone's leg. ,톰은 정말 짓궂다. 그는 항상 누군가를 속여 먹는다.
,Pull yourself together,힘을내요.
,"Let's take a rain check. First of all, you better pull yourself together.","다음을 기약합시다, 일단 네 마음을 가다듬는게 좋겠어."
,"He has pulled himself together for a couple days, and he's preparing for test.","몇일 동안 마음을 가다 듬고 난 후에, 시험 준비 하고 있어."
,pull yourself together! you have messed around for two years.,정신차려! 너 2년 동안 빈둥거렸잖아.
,"Pugsley, emotion equlas weaknness. Pull yourself together, Now.","퍽슬리, 감정은 곧 약점이야. 뚝 그쳐, 당장."
,my god! pull yourself together!,이럴 수가! 정신 좀 차려!
,I pulled myself together and got back to work.,마음을 가다듬고 다시 일하러 갔어요.
,I'll get back to you as soon as I pull myself together.,"마음 추스르고 간으한 빨리 연락할게,."
,Stop whinning and pull yourself together.,그만 징징 거리고 정신 좀 차려.
,"I know you had a rough day, but you have to get that done today. So pull yourself together.",너 힘든 하루 보낸 거 아는데 너 이거 오늘까지 끝내야해. 그러니까 정신 좀 차려봐.
,So far so good,지금까지는 좋다
,"The devil is in the details, and we don't want to miss anything that could come back to bite us.",혹시 놓치고 있는 부분이 나중에 독으로 작용 할 수도 있으니까 제대로 읽어야 해.
,Speak of the devil,호랑이도 제 말하면 온다
,"Did you hear what happened to Anna yesterday - oh, speak of the devil, here she is.","어제 안나에게 무슨 일이 일어났는지 들었나요? 아, 호랑이도 제 말하면 온다더니, 안나 오네."
,"We were huddled around the tv, talking about Fred, when he walked in. oh, speak of the devil.",Fred가 들어왔을 때 우리는 TV 주위에 모여서 Fred에 대해 이야기하고 있었습니다. 호랑이도 제 말하면 오는 격이군요.
,You always need to read contracts; the devil is in the detail,항상 계약서를 잘 읽어볼 필요가 있어; 문제는 세부사항 속에 숨어 있어.
,Remember to plan your hike before venturing into the wilderness; the devil is in the details.,길을 떠나기 전에 여정을 계획하라는 말을 기억하세요. 사소한 것 같아도 빠뜨리면 절대 안 되는 거에요.
,"In any negotiation, the devil is in the detail.",어떤 협상이라도 사소한 부분이 전체 결과를 좌지우지 하게 될 수 있습니다.
,"Whenever I try to bake something, I find that the devil is in the detail.","베이킹 할 때마다 느끼는 건데, 한끗 차이 더라고요."
,We have to double-check everything before submitting the report. The devil is in the details.,우리는 보고서를 제출하기 전에 모든 것을 두 번씩 확인해야 해. 문제점은 세부사항에 있을 수 있으니까.
,"He seems confident, but the devil is in the details. He may have missed something important. ","그는 자신감에 찬 듯 보이지만, 세부사항에 문제가 있을지도 몰라 중요한 부분을 놓친 게 아닐까."
,"It looks like our company will perform well, but the devil is in the detail, who knows what the future will bring.","우리 회사가 실적이 좋을 것 같지만, 사소한 것이 문제를 일으킬 수도 있기에 미래가 어떨지 누가 알겠습니까."
,"The design looks great, but we need to review it again. The devil is in the details.","디자인은 멋지게 보이지만, 다시 한 번 검토해봐야 해. 세부사항에 문제가 있을 수도 있으니까. "
,That's the last straw,더 이상 참을 수 없습니다.
,That's the last straw.,참을 만큼 참았어.
,"When Scott argued with our CEO, it was the final straw.","스캇 씨가 대표이사님과 언쟁을 벌였을 때, 참을 만큼 참은 거였어요."
,"You've arrived late several times, and today is the last straw.","이미 여러 번 늦으셨기 때문에, 오늘 일에 대해선 더 이상은 무리예요."
,"When the neighbors played loud music all night, it was the last straw.","이웃 사람들이 밤새 음악을 크게 틀었을때, 더이상 참는건 무리였어요."
,That's the last straw. My patience has run out.,참을 만큼 참았습니다. 인내심이 바닥났거든요.
,I'm not going to wait for you again. That's the last straw.,다시는 당신을 기다리지 않을 겁니다. 참을 만큼 참았으니까요.
,That'st the last straw. I can't take any more of your complaning about every little thing.,참을 만큼 참았다. 사소한 모든것에 불평하는 너를 견디지 못하겠어.
,The best of both worlds,일석 이조 일거 양득
,"she works in the city and lives in the country, so she gets the best of both worlds.",그녀는 도시에서 일하고 시골에 사네요. 두 곳의 좋은 점을 다 누립니다.
,They want the best of both worlds- sport and luxury in one car.,그들은 두가지를 다 갖고 싶어 해요. 차 한대에 스포츠와 럭셔리라뇨.
,I have the best of both worlds - a wonderful family and a great job.,나는 두가지 좋은 것을 다 가지고 있지 멋진 가족과 좋은 직업.
,"you get the best of both worlds, as the people there are very friendly, and there are so many great schools!",구자기 장점을 다 가질 수 있어요! 사람들도 친절하고 좋은 학교도 많아요!
,I live inn a place where I can enjoy the best of both worlds since it's near the big city.,우리 집은 큰 도시와 가까이 있기 때문에 난 양쪽의 장점을 다 누리고 살아.
,"If you like the activities and destination hopping, a cruise is the best of both worlds.","여러 가지 활동과 여기저기 옮겨 다니는 것을 좋아하시면, 유ㅠ랍선 여행이 일석이조 입니다."
,"If you want to get health and lose weight, working out is the best of both worlds.","네가 건강해지고 살도 빼고 싶으면, 운동이 일석이조야."
,This bed offers the best of both worlds for those seeking comfortable and cozy.,이 침대는 편안함과 안락함을 모두 원하는 사람들에게 일석이조의 효과를 제공합니다.
,Time flies when you're having fun,재미있을 때는 시간 가는 줄 몰라.
,I know! Time flies when you're having fun.,그러니까. 재미있을 떄는 시간이 너무 빨리 가.
,Don't get bent out of shape about it.,그런 일로 화내지마.
,She was really bent out of shape when she found out she didn't get the job.,그녀는 그 일자리를 못 얻었다는 것을 알게 되자 너무 화를 냈어.
,Don't get bent out of shape over a small mistake.,작은 실수 때문에 화내지 마.
,My boss was bent out of shape when I missed the deadline.,내가 기한을 놓쳐서 상사가 너무 화났어.
,Just calm down. There's no need to get bent out of shape.,진정해. 화낼 필요 없어.
,He got really bent out of shape! He shouted at me for over an hour!,그는 정말 화가 났었어! 게가 나한테 한 시간 넘게 소리쳤어!
,My mom got bent out of shape when I came home late.,내가 집에 늦게 들어올 때 엄마가 화를 냈어.
,please don't get bent out of shape when you hear the bad news.,좋지 않은 소식을 듣고 화내지 않았으면 좋겠어.
,To make matters worse,설상가상으로
,"The customer was very upset  because of the failure. To make matters worse, they consider a lawsuit.",하자로 인해 그 고객은 매우 화가 났습니다. 설상가상으로 소송까지 고려하고 있습니다.
,"Raw material cost has been raised a lot. To make matters worse, delivery time is going to be extended seriously.",원자재 가격이 많이 올랐습니다. 설상가상으로 납기일 또한 심각하게 지연될 것입니다.
